model,question,correct,seconds,prompt_chars
Llama3.2-3B Q6_K,0,1,0.2310,321
Llama3.2-3B Q6_K,1,1,0.1995,444
Llama3.2-3B Q6_K,2,1,0.1940,355
Llama3.2-3B Q6_K,3,0,0.1998,408
Llama3.2-3B Q6_K,4,0,0.2306,470
Llama3.2-3B Q6_K,5,1,0.2248,499
Llama3.2-3B Q6_K,6,1,0.2250,516
Llama3.2-3B Q6_K,7,1,0.2153,342
Llama3.2-3B Q6_K,8,0,0.2205,480
Llama3.2-3B Q6_K,9,1,0.1499,224
Llama3.2-3B Q6_K,10,0,0.1540,275
Llama3.2-3B Q6_K,11,1,0.1510,262
Llama3.2-3B Q6_K,12,1,0.2141,185
Llama3.2-3B Q6_K,13,0,0.1525,293
Llama3.2-3B Q6_K,14,1,0.1505,168
Llama3.2-3B Q6_K,15,1,0.1425,153
Llama3.2-3B Q6_K,16,1,0.2187,468
Llama3.2-3B Q6_K,17,1,0.2184,338
Llama3.2-3B Q6_K,18,1,0.2191,485
Llama3.2-3B Q6_K,19,0,0.2184,352
Llama3.2-3B Q6_K,20,1,0.2133,332
Llama3.2-3B Q6_K,21,1,0.2280,322
Llama3.2-3B Q6_K,22,1,0.1488,232
Llama3.2-3B Q6_K,23,0,0.2201,325
Llama3.2-3B Q6_K,24,1,0.1456,105
Llama3.2-3B Q6_K,25,1,0.1511,235
Llama3.2-3B Q6_K,26,1,0.2141,436
Llama3.2-3B Q6_K,27,1,0.2240,446
Llama3.2-3B Q6_K,28,1,0.2149,319
Llama3.2-3B Q6_K,29,1,0.1511,167
Llama3.2-3B Q6_K,30,1,0.2179,379
Llama3.2-3B Q6_K,31,1,0.1521,289
Llama3.2-3B Q6_K,32,1,0.1483,192
Llama3.2-3B Q6_K,33,1,0.1531,241
Llama3.2-3B Q6_K,34,1,0.1177,128
Llama3.2-3B Q6_K,35,0,0.2199,445
Llama3.2-3B Q6_K,36,0,0.2180,376
Llama3.2-3B Q6_K,37,0,0.1494,274
Llama3.2-3B Q6_K,38,1,0.1525,284
Llama3.2-3B Q6_K,39,1,0.2153,431
Llama3.2-3B Q6_K,40,1,0.1515,270
Llama3.2-3B Q6_K,41,0,0.1501,179
Llama3.2-3B Q6_K,42,1,0.1525,129
Llama3.2-3B Q6_K,43,1,0.2163,302
Llama3.2-3B Q6_K,44,0,0.2189,380
Llama3.2-3B Q6_K,45,1,0.1483,134
Llama3.2-3B Q6_K,46,1,0.1463,153
Llama3.2-3B Q6_K,47,1,0.1498,163
