model,question,correct,seconds,prompt_chars
Phi-3-mini Q5_K_M (self-made),0,1,0.2781,321
Phi-3-mini Q5_K_M (self-made),1,1,0.2769,444
Phi-3-mini Q5_K_M (self-made),2,1,0.2712,355
Phi-3-mini Q5_K_M (self-made),3,1,0.2764,408
Phi-3-mini Q5_K_M (self-made),4,0,0.2857,470
Phi-3-mini Q5_K_M (self-made),5,1,0.5033,499
Phi-3-mini Q5_K_M (self-made),6,1,0.2858,516
Phi-3-mini Q5_K_M (self-made),7,1,0.2759,342
Phi-3-mini Q5_K_M (self-made),8,1,0.2806,480
Phi-3-mini Q5_K_M (self-made),9,1,0.1981,224
Phi-3-mini Q5_K_M (self-made),10,1,0.2645,275
Phi-3-mini Q5_K_M (self-made),11,1,0.2663,262
Phi-3-mini Q5_K_M (self-made),12,1,0.2658,185
Phi-3-mini Q5_K_M (self-made),13,1,0.2698,293
Phi-3-mini Q5_K_M (self-made),14,1,0.1868,168
Phi-3-mini Q5_K_M (self-made),15,1,0.1855,153
Phi-3-mini Q5_K_M (self-made),16,1,0.2756,468
Phi-3-mini Q5_K_M (self-made),17,1,0.2984,338
Phi-3-mini Q5_K_M (self-made),18,1,0.3102,485
Phi-3-mini Q5_K_M (self-made),19,0,0.2709,352
Phi-3-mini Q5_K_M (self-made),20,1,0.2683,332
Phi-3-mini Q5_K_M (self-made),21,1,0.5449,322
Phi-3-mini Q5_K_M (self-made),22,1,0.2897,232
Phi-3-mini Q5_K_M (self-made),23,1,0.2924,325
Phi-3-mini Q5_K_M (self-made),24,1,0.1902,105
Phi-3-mini Q5_K_M (self-made),25,1,0.2594,235
Phi-3-mini Q5_K_M (self-made),26,0,0.2730,436
Phi-3-mini Q5_K_M (self-made),27,1,0.2908,446
Phi-3-mini Q5_K_M (self-made),28,1,0.2902,319
Phi-3-mini Q5_K_M (self-made),29,1,0.2012,167
Phi-3-mini Q5_K_M (self-made),30,1,0.2874,379
Phi-3-mini Q5_K_M (self-made),31,1,0.2879,289
Phi-3-mini Q5_K_M (self-made),32,1,0.1988,192
Phi-3-mini Q5_K_M (self-made),33,1,0.2016,241
Phi-3-mini Q5_K_M (self-made),34,1,0.1912,128
Phi-3-mini Q5_K_M (self-made),35,1,0.2866,445
Phi-3-mini Q5_K_M (self-made),36,1,0.3357,376
Phi-3-mini Q5_K_M (self-made),37,0,0.2934,274
Phi-3-mini Q5_K_M (self-made),38,1,0.2752,284
Phi-3-mini Q5_K_M (self-made),39,1,0.2941,431
Phi-3-mini Q5_K_M (self-made),40,1,0.2689,270
Phi-3-mini Q5_K_M (self-made),41,1,0.2093,179
Phi-3-mini Q5_K_M (self-made),42,1,0.2045,129
Phi-3-mini Q5_K_M (self-made),43,1,0.2684,302
Phi-3-mini Q5_K_M (self-made),44,0,0.2797,380
Phi-3-mini Q5_K_M (self-made),45,1,0.1931,134
Phi-3-mini Q5_K_M (self-made),46,1,0.1895,153
Phi-3-mini Q5_K_M (self-made),47,1,0.1877,163
Phi-3-mini Q5_K_M (self-made),48,1,0.1807,221
Phi-3-mini Q5_K_M (self-made),49,0,0.2721,197
Phi-3-mini Q5_K_M (self-made),50,1,0.2935,419
Phi-3-mini Q5_K_M (self-made),51,1,0.2911,286
Phi-3-mini Q5_K_M (self-made),52,1,0.2039,196
Phi-3-mini Q5_K_M (self-made),53,0,0.3302,254
Phi-3-mini Q5_K_M (self-made),54,0,0.2722,312
Phi-3-mini Q5_K_M (self-made),55,1,0.4984,580
