model,question,correct,seconds,prompt_chars
Phi-3-mini Q4_K_M (shipped),0,1,0.3553,321
Phi-3-mini Q4_K_M (shipped),1,1,0.3293,444
Phi-3-mini Q4_K_M (shipped),2,1,0.3126,355
Phi-3-mini Q4_K_M (shipped),3,1,0.3231,408
Phi-3-mini Q4_K_M (shipped),4,0,0.3904,470
Phi-3-mini Q4_K_M (shipped),5,1,0.6801,499
Phi-3-mini Q4_K_M (shipped),6,1,0.4373,516
Phi-3-mini Q4_K_M (shipped),7,1,0.4620,342
Phi-3-mini Q4_K_M (shipped),8,1,0.4450,480
Phi-3-mini Q4_K_M (shipped),9,1,0.2915,224
Phi-3-mini Q4_K_M (shipped),10,1,0.4059,275
Phi-3-mini Q4_K_M (shipped),11,1,0.3754,262
Phi-3-mini Q4_K_M (shipped),12,1,0.3937,185
Phi-3-mini Q4_K_M (shipped),13,1,0.4002,293
Phi-3-mini Q4_K_M (shipped),14,1,0.2457,168
Phi-3-mini Q4_K_M (shipped),15,1,0.2649,153
Phi-3-mini Q4_K_M (shipped),16,1,0.3986,468
Phi-3-mini Q4_K_M (shipped),17,1,0.4045,338
Phi-3-mini Q4_K_M (shipped),18,1,0.4167,485
Phi-3-mini Q4_K_M (shipped),19,1,0.4207,352
Phi-3-mini Q4_K_M (shipped),20,1,0.4394,332
Phi-3-mini Q4_K_M (shipped),21,1,0.6651,322
Phi-3-mini Q4_K_M (shipped),22,1,0.4647,232
Phi-3-mini Q4_K_M (shipped),23,1,0.4460,325
Phi-3-mini Q4_K_M (shipped),24,1,0.2306,105
Phi-3-mini Q4_K_M (shipped),25,1,0.3083,235
Phi-3-mini Q4_K_M (shipped),26,0,0.3495,436
Phi-3-mini Q4_K_M (shipped),27,1,0.3715,446
Phi-3-mini Q4_K_M (shipped),28,1,0.3907,319
Phi-3-mini Q4_K_M (shipped),29,1,0.2420,167
Phi-3-mini Q4_K_M (shipped),30,1,0.3080,379
Phi-3-mini Q4_K_M (shipped),31,1,0.3743,289
Phi-3-mini Q4_K_M (shipped),32,1,0.2506,192
Phi-3-mini Q4_K_M (shipped),33,1,0.2344,241
Phi-3-mini Q4_K_M (shipped),34,0,0.2451,128
Phi-3-mini Q4_K_M (shipped),35,0,0.4212,445
Phi-3-mini Q4_K_M (shipped),36,1,0.4387,376
Phi-3-mini Q4_K_M (shipped),37,0,0.4206,274
Phi-3-mini Q4_K_M (shipped),38,1,0.4196,284
Phi-3-mini Q4_K_M (shipped),39,1,0.3323,431
Phi-3-mini Q4_K_M (shipped),40,1,0.3366,270
Phi-3-mini Q4_K_M (shipped),41,0,0.2347,179
Phi-3-mini Q4_K_M (shipped),42,1,0.2211,129
Phi-3-mini Q4_K_M (shipped),43,1,0.4128,302
Phi-3-mini Q4_K_M (shipped),44,0,0.3877,380
Phi-3-mini Q4_K_M (shipped),45,1,0.2231,134
Phi-3-mini Q4_K_M (shipped),46,1,0.2332,153
Phi-3-mini Q4_K_M (shipped),47,1,0.2092,163
Phi-3-mini Q4_K_M (shipped),48,1,0.2311,221
Phi-3-mini Q4_K_M (shipped),49,0,0.3733,197
Phi-3-mini Q4_K_M (shipped),50,1,0.3868,419
Phi-3-mini Q4_K_M (shipped),51,1,0.3807,286
Phi-3-mini Q4_K_M (shipped),52,1,0.2626,196
Phi-3-mini Q4_K_M (shipped),53,0,0.4009,254
Phi-3-mini Q4_K_M (shipped),54,0,0.3025,312
Phi-3-mini Q4_K_M (shipped),55,1,0.5850,580
Phi-3-mini Q4_K_M (shipped),56,0,0.3207,316
Phi-3-mini Q4_K_M (shipped),57,1,0.3751,349
Phi-3-mini Q4_K_M (shipped),58,1,0.2757,154
Phi-3-mini Q4_K_M (shipped),59,1,0.6634,458
Phi-3-mini Q4_K_M (shipped),60,1,0.3253,147
Phi-3-mini Q4_K_M (shipped),61,1,0.2266,180
Phi-3-mini Q4_K_M (shipped),62,1,0.2283,191
Phi-3-mini Q4_K_M (shipped),63,1,0.2354,138
Phi-3-mini Q4_K_M (shipped),64,0,0.7245,480
Phi-3-mini Q4_K_M (shipped),65,1,0.4588,279
Phi-3-mini Q4_K_M (shipped),66,0,0.4356,343
Phi-3-mini Q4_K_M (shipped),67,0,0.4390,352
Phi-3-mini Q4_K_M (shipped),68,0,0.2726,182
Phi-3-mini Q4_K_M (shipped),69,0,0.4097,211
Phi-3-mini Q4_K_M (shipped),70,1,0.4197,228
Phi-3-mini Q4_K_M (shipped),71,1,0.2745,192
Phi-3-mini Q4_K_M (shipped),72,1,0.4309,391
Phi-3-mini Q4_K_M (shipped),73,1,0.2810,221
Phi-3-mini Q4_K_M (shipped),74,1,0.3422,296
Phi-3-mini Q4_K_M (shipped),75,0,0.2347,210
Phi-3-mini Q4_K_M (shipped),76,1,0.4010,399
Phi-3-mini Q4_K_M (shipped),77,1,0.4454,356
Phi-3-mini Q4_K_M (shipped),78,1,0.3102,327
Phi-3-mini Q4_K_M (shipped),79,1,0.2085,155
Phi-3-mini Q4_K_M (shipped),80,1,0.2030,193
Phi-3-mini Q4_K_M (shipped),81,1,0.2070,263
Phi-3-mini Q4_K_M (shipped),82,1,0.2094,138
Phi-3-mini Q4_K_M (shipped),83,1,0.2284,163
Phi-3-mini Q4_K_M (shipped),84,1,0.4317,505
Phi-3-mini Q4_K_M (shipped),85,1,0.2937,178
Phi-3-mini Q4_K_M (shipped),86,1,0.7479,600
Phi-3-mini Q4_K_M (shipped),87,1,0.4335,431
Phi-3-mini Q4_K_M (shipped),88,0,0.3783,221
Phi-3-mini Q4_K_M (shipped),89,1,0.2656,219
Phi-3-mini Q4_K_M (shipped),90,1,0.2478,174
Phi-3-mini Q4_K_M (shipped),91,1,0.3133,346
Phi-3-mini Q4_K_M (shipped),92,1,0.3435,307
Phi-3-mini Q4_K_M (shipped),93,1,0.4010,557
Phi-3-mini Q4_K_M (shipped),94,1,0.3204,289
Phi-3-mini Q4_K_M (shipped),95,1,0.2512,241
Phi-3-mini Q4_K_M (shipped),96,1,0.3654,388
Phi-3-mini Q4_K_M (shipped),97,1,0.2712,201
Phi-3-mini Q4_K_M (shipped),98,1,0.3491,232
Phi-3-mini Q4_K_M (shipped),99,1,0.3200,270
Phi-3-mini Q4_K_M (shipped),100,1,0.3095,466
Phi-3-mini Q4_K_M (shipped),101,1,0.3112,272
Phi-3-mini Q4_K_M (shipped),102,1,0.2069,165
Phi-3-mini Q4_K_M (shipped),103,1,0.2254,185
Phi-3-mini Q4_K_M (shipped),104,1,0.2095,232
Phi-3-mini Q4_K_M (shipped),105,1,0.3451,293
Phi-3-mini Q4_K_M (shipped),106,1,0.3227,248
Phi-3-mini Q4_K_M (shipped),107,1,0.3135,345
Phi-3-mini Q4_K_M (shipped),108,1,0.3145,294
Phi-3-mini Q4_K_M (shipped),109,1,0.2347,144
Phi-3-mini Q4_K_M (shipped),110,1,0.5984,489
Phi-3-mini Q4_K_M (shipped),111,1,0.2477,243
Phi-3-mini Q4_K_M (shipped),112,0,0.3528,284
Phi-3-mini Q4_K_M (shipped),113,1,0.2563,177
Phi-3-mini Q4_K_M (shipped),114,1,0.2307,238
Phi-3-mini Q4_K_M (shipped),115,1,0.2251,218
Phi-3-mini Q4_K_M (shipped),116,1,0.2155,244
Phi-3-mini Q4_K_M (shipped),117,1,0.2067,198
Phi-3-mini Q4_K_M (shipped),118,1,0.3618,247
Phi-3-mini Q4_K_M (shipped),119,1,0.3364,392
Phi-3-mini Q4_K_M (shipped),120,1,0.3995,348
Phi-3-mini Q4_K_M (shipped),121,1,0.2684,175
Phi-3-mini Q4_K_M (shipped),122,1,0.3905,314
Phi-3-mini Q4_K_M (shipped),123,1,0.4301,309
Phi-3-mini Q4_K_M (shipped),124,1,0.4191,334
Phi-3-mini Q4_K_M (shipped),125,1,0.2599,212
Phi-3-mini Q4_K_M (shipped),126,1,0.2431,143
Phi-3-mini Q4_K_M (shipped),127,1,0.2392,155
Phi-3-mini Q4_K_M (shipped),128,0,0.2389,126
Phi-3-mini Q4_K_M (shipped),129,1,0.2288,214
Phi-3-mini Q4_K_M (shipped),130,1,0.2391,154
Phi-3-mini Q4_K_M (shipped),131,1,0.2439,176
Phi-3-mini Q4_K_M (shipped),132,1,0.2523,168
Phi-3-mini Q4_K_M (shipped),133,1,0.2399,212
Phi-3-mini Q4_K_M (shipped),134,0,0.3852,356
Phi-3-mini Q4_K_M (shipped),135,0,0.3928,344
Phi-3-mini Q4_K_M (shipped),136,1,0.4206,380
Phi-3-mini Q4_K_M (shipped),137,1,0.3576,267
Phi-3-mini Q4_K_M (shipped),138,1,0.3555,309
Phi-3-mini Q4_K_M (shipped),139,0,0.2111,228
Phi-3-mini Q4_K_M (shipped),140,1,0.3114,295
Phi-3-mini Q4_K_M (shipped),141,1,0.4362,320
Phi-3-mini Q4_K_M (shipped),142,0,0.2735,217
Phi-3-mini Q4_K_M (shipped),143,1,0.4378,366
Phi-3-mini Q4_K_M (shipped),144,1,0.2673,193
Phi-3-mini Q4_K_M (shipped),145,1,0.3990,491
Phi-3-mini Q4_K_M (shipped),146,1,0.2486,184
Phi-3-mini Q4_K_M (shipped),147,1,0.2515,226
Phi-3-mini Q4_K_M (shipped),148,1,0.2188,91
Phi-3-mini Q4_K_M (shipped),149,1,0.3827,225
Phi-3-mini Q4_K_M (shipped),150,1,0.4093,257
Phi-3-mini Q4_K_M (shipped),151,0,0.2677,185
Phi-3-mini Q4_K_M (shipped),152,1,0.2510,163
Phi-3-mini Q4_K_M (shipped),153,0,0.3973,371
Phi-3-mini Q4_K_M (shipped),154,1,0.3942,319
Phi-3-mini Q4_K_M (shipped),155,1,0.2647,207
Phi-3-mini Q4_K_M (shipped),156,1,0.2305,118
Phi-3-mini Q4_K_M (shipped),157,1,0.2420,182
Phi-3-mini Q4_K_M (shipped),158,1,0.2454,177
Phi-3-mini Q4_K_M (shipped),159,1,0.2362,171
Phi-3-mini Q4_K_M (shipped),160,1,0.2378,265
Phi-3-mini Q4_K_M (shipped),161,1,0.2256,164
