model,question,correct,seconds,prompt_chars
Qwen2.5-3B Q8_0,0,1,0.2340,321
Qwen2.5-3B Q8_0,1,1,0.1848,444
Qwen2.5-3B Q8_0,2,1,0.1935,355
Qwen2.5-3B Q8_0,3,1,0.2188,408
Qwen2.5-3B Q8_0,4,0,0.2274,470
Qwen2.5-3B Q8_0,5,0,0.2295,499
Qwen2.5-3B Q8_0,6,1,0.2294,516
Qwen2.5-3B Q8_0,7,1,0.2174,342
Qwen2.5-3B Q8_0,8,0,0.2256,480
Qwen2.5-3B Q8_0,9,1,0.1416,224
Qwen2.5-3B Q8_0,10,1,0.1357,275
Qwen2.5-3B Q8_0,11,1,0.1353,262
Qwen2.5-3B Q8_0,12,1,0.2167,185
Qwen2.5-3B Q8_0,13,1,0.1354,293
Qwen2.5-3B Q8_0,14,1,0.1309,168
Qwen2.5-3B Q8_0,15,0,0.1301,153
Qwen2.5-3B Q8_0,16,1,0.2268,468
Qwen2.5-3B Q8_0,17,1,0.2219,338
Qwen2.5-3B Q8_0,18,0,0.2258,485
Qwen2.5-3B Q8_0,19,1,0.2168,352
Qwen2.5-3B Q8_0,20,1,0.2202,332
Qwen2.5-3B Q8_0,21,1,0.2296,322
Qwen2.5-3B Q8_0,22,1,0.1350,232
Qwen2.5-3B Q8_0,23,1,0.2280,325
Qwen2.5-3B Q8_0,24,1,0.1298,105
Qwen2.5-3B Q8_0,25,1,0.1355,235
Qwen2.5-3B Q8_0,26,0,0.2229,436
Qwen2.5-3B Q8_0,27,1,0.2301,446
Qwen2.5-3B Q8_0,28,0,0.2400,319
Qwen2.5-3B Q8_0,29,1,0.1470,167
Qwen2.5-3B Q8_0,30,0,0.2214,379
Qwen2.5-3B Q8_0,31,1,0.1389,289
Qwen2.5-3B Q8_0,32,1,0.1307,192
Qwen2.5-3B Q8_0,33,1,0.1335,241
Qwen2.5-3B Q8_0,34,1,0.1298,128
Qwen2.5-3B Q8_0,35,0,0.2199,445
Qwen2.5-3B Q8_0,36,1,0.2205,376
Qwen2.5-3B Q8_0,37,1,0.1398,274
Qwen2.5-3B Q8_0,38,1,0.1630,284
Qwen2.5-3B Q8_0,39,1,0.2802,431
Qwen2.5-3B Q8_0,40,1,0.1356,270
Qwen2.5-3B Q8_0,41,0,0.1320,179
Qwen2.5-3B Q8_0,42,0,0.1339,129
Qwen2.5-3B Q8_0,43,1,0.2157,302
Qwen2.5-3B Q8_0,44,0,0.2158,380
Qwen2.5-3B Q8_0,45,1,0.1310,134
Qwen2.5-3B Q8_0,46,1,0.1304,153
Qwen2.5-3B Q8_0,47,1,0.1290,163
Qwen2.5-3B Q8_0,48,1,0.1316,221
Qwen2.5-3B Q8_0,49,0,0.1355,197
Qwen2.5-3B Q8_0,50,1,0.2242,419
Qwen2.5-3B Q8_0,51,1,0.2172,286
Qwen2.5-3B Q8_0,52,1,0.1326,196
Qwen2.5-3B Q8_0,53,1,0.1360,254
Qwen2.5-3B Q8_0,54,0,0.2172,312
Qwen2.5-3B Q8_0,55,1,0.2294,580
Qwen2.5-3B Q8_0,56,1,0.2147,316
Qwen2.5-3B Q8_0,57,1,0.2225,349
Qwen2.5-3B Q8_0,58,1,0.1302,154
Qwen2.5-3B Q8_0,59,1,0.3569,458
Qwen2.5-3B Q8_0,60,1,0.1347,147
Qwen2.5-3B Q8_0,61,1,0.1316,180
Qwen2.5-3B Q8_0,62,1,0.1315,191
Qwen2.5-3B Q8_0,63,0,0.1295,138
Qwen2.5-3B Q8_0,64,1,0.2285,480
Qwen2.5-3B Q8_0,65,1,0.1351,279
Qwen2.5-3B Q8_0,66,1,0.2208,343
Qwen2.5-3B Q8_0,67,0,0.2185,352
Qwen2.5-3B Q8_0,68,0,0.1334,182
Qwen2.5-3B Q8_0,69,0,0.1324,211
Qwen2.5-3B Q8_0,70,0,0.1357,228
Qwen2.5-3B Q8_0,71,1,0.1326,192
Qwen2.5-3B Q8_0,72,1,0.2210,391
Qwen2.5-3B Q8_0,73,1,0.1342,221
