model,question,correct,seconds,prompt_chars
Qwen2.5-3B Q4_0,0,1,0.2223,321
Qwen2.5-3B Q4_0,1,1,0.1742,444
Qwen2.5-3B Q4_0,2,1,0.1688,355
Qwen2.5-3B Q4_0,3,1,0.1718,408
Qwen2.5-3B Q4_0,4,0,0.1810,470
Qwen2.5-3B Q4_0,5,0,0.1810,499
Qwen2.5-3B Q4_0,6,1,0.1827,516
Qwen2.5-3B Q4_0,7,1,0.1660,342
Qwen2.5-3B Q4_0,8,1,0.1795,480
Qwen2.5-3B Q4_0,9,1,0.1079,224
Qwen2.5-3B Q4_0,10,1,0.1014,275
Qwen2.5-3B Q4_0,11,1,0.0990,262
Qwen2.5-3B Q4_0,12,1,0.1683,185
Qwen2.5-3B Q4_0,13,0,0.1029,293
Qwen2.5-3B Q4_0,14,0,0.0977,168
Qwen2.5-3B Q4_0,15,1,0.0970,153
Qwen2.5-3B Q4_0,16,1,0.1756,468
Qwen2.5-3B Q4_0,17,1,0.1737,338
Qwen2.5-3B Q4_0,18,1,0.1771,485
Qwen2.5-3B Q4_0,19,1,0.1701,352
Qwen2.5-3B Q4_0,20,1,0.1726,332
Qwen2.5-3B Q4_0,21,1,0.1931,322
Qwen2.5-3B Q4_0,22,1,0.1003,232
Qwen2.5-3B Q4_0,23,1,0.1768,325
Qwen2.5-3B Q4_0,24,1,0.0953,105
Qwen2.5-3B Q4_0,25,1,0.1007,235
Qwen2.5-3B Q4_0,26,0,0.1768,436
Qwen2.5-3B Q4_0,27,1,0.1843,446
Qwen2.5-3B Q4_0,28,0,0.1988,319
Qwen2.5-3B Q4_0,29,1,0.1108,167
Qwen2.5-3B Q4_0,30,1,0.1740,379
Qwen2.5-3B Q4_0,31,1,0.1026,289
Qwen2.5-3B Q4_0,32,1,0.0997,192
Qwen2.5-3B Q4_0,33,1,0.1021,241
Qwen2.5-3B Q4_0,34,1,0.0999,128
Qwen2.5-3B Q4_0,35,0,0.1843,445
Qwen2.5-3B Q4_0,36,1,0.1814,376
Qwen2.5-3B Q4_0,37,1,0.1113,274
Qwen2.5-3B Q4_0,38,1,0.1089,284
Qwen2.5-3B Q4_0,39,1,0.1849,431
Qwen2.5-3B Q4_0,40,1,0.1048,270
Qwen2.5-3B Q4_0,41,1,0.1006,179
Qwen2.5-3B Q4_0,42,0,0.0999,129
Qwen2.5-3B Q4_0,43,1,0.1726,302
Qwen2.5-3B Q4_0,44,0,0.1751,380
Qwen2.5-3B Q4_0,45,1,0.1037,134
Qwen2.5-3B Q4_0,46,1,0.1056,153
Qwen2.5-3B Q4_0,47,0,0.1034,163
Qwen2.5-3B Q4_0,48,1,0.1035,221
Qwen2.5-3B Q4_0,49,0,0.1058,197
Qwen2.5-3B Q4_0,50,1,0.1883,419
Qwen2.5-3B Q4_0,51,1,0.1744,286
Qwen2.5-3B Q4_0,52,1,0.1038,196
Qwen2.5-3B Q4_0,53,0,0.1060,254
Qwen2.5-3B Q4_0,54,0,0.1757,312
Qwen2.5-3B Q4_0,55,1,0.1891,580
Qwen2.5-3B Q4_0,56,0,0.1744,316
Qwen2.5-3B Q4_0,57,1,0.1774,349
Qwen2.5-3B Q4_0,58,1,0.0983,154
Qwen2.5-3B Q4_0,59,1,0.2906,458
Qwen2.5-3B Q4_0,60,1,0.1055,147
Qwen2.5-3B Q4_0,61,1,0.1029,180
Qwen2.5-3B Q4_0,62,1,0.1035,191
Qwen2.5-3B Q4_0,63,0,0.1016,138
Qwen2.5-3B Q4_0,64,1,0.1854,480
Qwen2.5-3B Q4_0,65,1,0.1021,279
Qwen2.5-3B Q4_0,66,1,0.1706,343
Qwen2.5-3B Q4_0,67,0,0.1656,352
Qwen2.5-3B Q4_0,68,0,0.0984,182
Qwen2.5-3B Q4_0,69,0,0.0997,211
Qwen2.5-3B Q4_0,70,0,0.1055,228
Qwen2.5-3B Q4_0,71,1,0.0966,192
Qwen2.5-3B Q4_0,72,1,0.1678,391
Qwen2.5-3B Q4_0,73,1,0.1004,221
Qwen2.5-3B Q4_0,74,1,0.1028,296
Qwen2.5-3B Q4_0,75,1,0.1055,210
Qwen2.5-3B Q4_0,76,1,0.1927,399
Qwen2.5-3B Q4_0,77,1,0.1806,356
Qwen2.5-3B Q4_0,78,1,0.1893,327
Qwen2.5-3B Q4_0,79,0,0.1051,155
Qwen2.5-3B Q4_0,80,1,0.1088,193
Qwen2.5-3B Q4_0,81,0,0.1178,263
Qwen2.5-3B Q4_0,82,1,0.1231,138
Qwen2.5-3B Q4_0,83,1,0.1081,163
Qwen2.5-3B Q4_0,84,1,0.1988,505
Qwen2.5-3B Q4_0,85,1,0.1228,178
Qwen2.5-3B Q4_0,86,0,0.2114,600
Qwen2.5-3B Q4_0,87,1,0.2025,431
Qwen2.5-3B Q4_0,88,0,0.1896,221
Qwen2.5-3B Q4_0,89,1,0.1110,219
Qwen2.5-3B Q4_0,90,1,0.1074,174
Qwen2.5-3B Q4_0,91,0,0.1882,346
Qwen2.5-3B Q4_0,92,1,0.1829,307
Qwen2.5-3B Q4_0,93,0,0.2002,557
Qwen2.5-3B Q4_0,94,1,0.1109,289
Qwen2.5-3B Q4_0,95,1,0.1101,241
Qwen2.5-3B Q4_0,96,1,0.1863,388
Qwen2.5-3B Q4_0,97,1,0.1106,201
Qwen2.5-3B Q4_0,98,1,0.1143,232
