model,question,correct,seconds,prompt_chars
Qwen2.5-3B Q6_K,0,1,0.2623,321
Qwen2.5-3B Q6_K,1,1,0.2213,444
Qwen2.5-3B Q6_K,2,1,0.2172,355
Qwen2.5-3B Q6_K,3,1,0.2223,408
Qwen2.5-3B Q6_K,4,0,0.2256,470
Qwen2.5-3B Q6_K,5,0,0.2259,499
Qwen2.5-3B Q6_K,6,1,0.2304,516
Qwen2.5-3B Q6_K,7,1,0.2227,342
Qwen2.5-3B Q6_K,8,0,0.2333,480
Qwen2.5-3B Q6_K,9,1,0.1512,224
Qwen2.5-3B Q6_K,10,1,0.1533,275
Qwen2.5-3B Q6_K,11,1,0.1575,262
Qwen2.5-3B Q6_K,12,1,0.2381,185
Qwen2.5-3B Q6_K,13,1,0.1871,293
Qwen2.5-3B Q6_K,14,1,0.1678,168
Qwen2.5-3B Q6_K,15,0,0.1461,153
Qwen2.5-3B Q6_K,16,1,0.2447,468
Qwen2.5-3B Q6_K,17,1,0.2374,338
Qwen2.5-3B Q6_K,18,0,0.2453,485
Qwen2.5-3B Q6_K,19,1,0.2360,352
Qwen2.5-3B Q6_K,20,1,0.2335,332
Qwen2.5-3B Q6_K,21,1,0.2546,322
Qwen2.5-3B Q6_K,22,1,0.1530,232
Qwen2.5-3B Q6_K,23,1,0.2476,325
Qwen2.5-3B Q6_K,24,1,0.1497,105
Qwen2.5-3B Q6_K,25,1,0.1548,235
Qwen2.5-3B Q6_K,26,0,0.2449,436
Qwen2.5-3B Q6_K,27,1,0.2484,446
Qwen2.5-3B Q6_K,28,0,0.2357,319
Qwen2.5-3B Q6_K,29,1,0.1575,167
Qwen2.5-3B Q6_K,30,0,0.2413,379
Qwen2.5-3B Q6_K,31,1,0.1568,289
Qwen2.5-3B Q6_K,32,1,0.1546,192
Qwen2.5-3B Q6_K,33,1,0.1560,241
Qwen2.5-3B Q6_K,34,1,0.1504,128
Qwen2.5-3B Q6_K,35,0,0.2401,445
Qwen2.5-3B Q6_K,36,1,0.2449,376
Qwen2.5-3B Q6_K,37,1,0.1580,274
Qwen2.5-3B Q6_K,38,1,0.1621,284
