model,question,correct,seconds,prompt_chars
Qwen2.5-1.5B F16,0,1,0.2138,321
Qwen2.5-1.5B F16,1,1,0.1518,444
Qwen2.5-1.5B F16,2,1,0.1472,355
Qwen2.5-1.5B F16,3,1,0.1588,408
Qwen2.5-1.5B F16,4,0,0.1606,470
Qwen2.5-1.5B F16,5,0,0.1715,499
Qwen2.5-1.5B F16,6,1,0.1704,516
Qwen2.5-1.5B F16,7,1,0.1499,342
Qwen2.5-1.5B F16,8,0,0.1622,480
Qwen2.5-1.5B F16,9,1,0.1335,224
Qwen2.5-1.5B F16,10,0,0.1049,275
Qwen2.5-1.5B F16,11,1,0.1047,262
Qwen2.5-1.5B F16,12,1,0.1476,185
Qwen2.5-1.5B F16,13,0,0.1060,293
Qwen2.5-1.5B F16,14,0,0.1032,168
Qwen2.5-1.5B F16,15,1,0.1023,153
Qwen2.5-1.5B F16,16,1,0.1626,468
Qwen2.5-1.5B F16,17,1,0.1580,338
Qwen2.5-1.5B F16,18,1,0.1688,485
Qwen2.5-1.5B F16,19,1,0.1511,352
Qwen2.5-1.5B F16,20,1,0.1538,332
Qwen2.5-1.5B F16,21,1,0.1822,322
Qwen2.5-1.5B F16,22,1,0.1138,232
Qwen2.5-1.5B F16,23,1,0.1689,325
Qwen2.5-1.5B F16,24,1,0.1119,105
Qwen2.5-1.5B F16,25,1,0.1122,235
Qwen2.5-1.5B F16,26,0,0.1744,436
Qwen2.5-1.5B F16,27,1,0.1773,446
Qwen2.5-1.5B F16,28,1,0.1513,319
Qwen2.5-1.5B F16,29,1,0.1095,167
Qwen2.5-1.5B F16,30,1,0.1594,379
Qwen2.5-1.5B F16,31,1,0.1123,289
Qwen2.5-1.5B F16,32,1,0.1106,192
Qwen2.5-1.5B F16,33,1,0.1086,241
Qwen2.5-1.5B F16,34,1,0.1004,128
Qwen2.5-1.5B F16,35,1,0.1573,445
Qwen2.5-1.5B F16,36,1,0.1582,376
Qwen2.5-1.5B F16,37,0,0.1167,274
Qwen2.5-1.5B F16,38,1,0.1110,284
Qwen2.5-1.5B F16,39,1,0.1544,431
Qwen2.5-1.5B F16,40,1,0.1117,270
Qwen2.5-1.5B F16,41,0,0.1039,179
Qwen2.5-1.5B F16,42,0,0.1058,129
Qwen2.5-1.5B F16,43,1,0.1456,302
Qwen2.5-1.5B F16,44,0,0.1491,380
Qwen2.5-1.5B F16,45,1,0.1101,134
Qwen2.5-1.5B F16,46,1,0.1054,153
Qwen2.5-1.5B F16,47,1,0.1060,163
Qwen2.5-1.5B F16,48,1,0.1032,221
Qwen2.5-1.5B F16,49,0,0.1073,197
Qwen2.5-1.5B F16,50,1,0.1680,419
Qwen2.5-1.5B F16,51,1,0.1500,286
Qwen2.5-1.5B F16,52,1,0.1070,196
Qwen2.5-1.5B F16,53,0,0.1152,254
Qwen2.5-1.5B F16,54,0,0.1496,312
Qwen2.5-1.5B F16,55,1,0.1821,580
Qwen2.5-1.5B F16,56,1,0.1499,316
Qwen2.5-1.5B F16,57,1,0.1549,349
Qwen2.5-1.5B F16,58,0,0.1047,154
Qwen2.5-1.5B F16,59,1,0.2196,458
Qwen2.5-1.5B F16,60,1,0.1164,147
Qwen2.5-1.5B F16,61,1,0.1118,180
Qwen2.5-1.5B F16,62,1,0.1098,191
Qwen2.5-1.5B F16,63,1,0.1063,138
Qwen2.5-1.5B F16,64,1,0.1779,480
Qwen2.5-1.5B F16,65,1,0.1168,279
Qwen2.5-1.5B F16,66,0,0.1560,343
Qwen2.5-1.5B F16,67,0,0.1544,352
Qwen2.5-1.5B F16,68,0,0.1108,182
Qwen2.5-1.5B F16,69,0,0.1146,211
Qwen2.5-1.5B F16,70,0,0.1170,228
Qwen2.5-1.5B F16,71,1,0.1119,192
Qwen2.5-1.5B F16,72,1,0.1589,391
Qwen2.5-1.5B F16,73,1,0.1153,221
Qwen2.5-1.5B F16,74,1,0.1143,296
Qwen2.5-1.5B F16,75,1,0.1092,210
Qwen2.5-1.5B F16,76,1,0.1673,399
