model,question,correct,seconds,prompt_chars
Qwen2.5-1.5B Q5_0,0,1,0.1447,321
Qwen2.5-1.5B Q5_0,1,1,0.1034,444
Qwen2.5-1.5B Q5_0,2,1,0.1028,355
Qwen2.5-1.5B Q5_0,3,1,0.1030,408
Qwen2.5-1.5B Q5_0,4,0,0.1064,470
Qwen2.5-1.5B Q5_0,5,0,0.1085,499
Qwen2.5-1.5B Q5_0,6,1,0.1132,516
Qwen2.5-1.5B Q5_0,7,1,0.1102,342
Qwen2.5-1.5B Q5_0,8,0,0.1193,480
Qwen2.5-1.5B Q5_0,9,1,0.0827,224
Qwen2.5-1.5B Q5_0,10,0,0.0861,275
Qwen2.5-1.5B Q5_0,11,1,0.0855,262
Qwen2.5-1.5B Q5_0,12,1,0.1221,185
Qwen2.5-1.5B Q5_0,13,0,0.0769,293
Qwen2.5-1.5B Q5_0,14,0,0.0689,168
Qwen2.5-1.5B Q5_0,15,1,0.0694,153
Qwen2.5-1.5B Q5_0,16,1,0.1070,468
Qwen2.5-1.5B Q5_0,17,1,0.1085,338
Qwen2.5-1.5B Q5_0,18,1,0.1119,485
Qwen2.5-1.5B Q5_0,19,1,0.1097,352
Qwen2.5-1.5B Q5_0,20,1,0.1110,332
Qwen2.5-1.5B Q5_0,21,1,0.1220,322
Qwen2.5-1.5B Q5_0,22,1,0.0922,232
Qwen2.5-1.5B Q5_0,23,1,0.1405,325
Qwen2.5-1.5B Q5_0,24,1,0.0839,105
Qwen2.5-1.5B Q5_0,25,1,0.0759,235
Qwen2.5-1.5B Q5_0,26,0,0.1073,436
Qwen2.5-1.5B Q5_0,27,1,0.1091,446
Qwen2.5-1.5B Q5_0,28,1,0.0971,319
Qwen2.5-1.5B Q5_0,29,1,0.0671,167
Qwen2.5-1.5B Q5_0,30,1,0.1123,379
Qwen2.5-1.5B Q5_0,31,1,0.0838,289
Qwen2.5-1.5B Q5_0,32,1,0.0885,192
Qwen2.5-1.5B Q5_0,33,1,0.0825,241
Qwen2.5-1.5B Q5_0,34,1,0.0784,128
Qwen2.5-1.5B Q5_0,35,1,0.1155,445
Qwen2.5-1.5B Q5_0,36,1,0.1028,376
Qwen2.5-1.5B Q5_0,37,1,0.0766,274
Qwen2.5-1.5B Q5_0,38,1,0.0803,284
Qwen2.5-1.5B Q5_0,39,1,0.1174,431
Qwen2.5-1.5B Q5_0,40,1,0.0800,270
Qwen2.5-1.5B Q5_0,41,0,0.0807,179
Qwen2.5-1.5B Q5_0,42,0,0.0816,129
Qwen2.5-1.5B Q5_0,43,1,0.1196,302
Qwen2.5-1.5B Q5_0,44,0,0.1024,380
Qwen2.5-1.5B Q5_0,45,1,0.0702,134
Qwen2.5-1.5B Q5_0,46,1,0.0700,153
Qwen2.5-1.5B Q5_0,47,1,0.0701,163
Qwen2.5-1.5B Q5_0,48,1,0.0682,221
Qwen2.5-1.5B Q5_0,49,0,0.0722,197
Qwen2.5-1.5B Q5_0,50,1,0.1059,419
Qwen2.5-1.5B Q5_0,51,1,0.1009,286
Qwen2.5-1.5B Q5_0,52,1,0.0684,196
Qwen2.5-1.5B Q5_0,53,0,0.0710,254
Qwen2.5-1.5B Q5_0,54,0,0.1045,312
Qwen2.5-1.5B Q5_0,55,1,0.1153,580
Qwen2.5-1.5B Q5_0,56,1,0.1020,316
Qwen2.5-1.5B Q5_0,57,1,0.1033,349
Qwen2.5-1.5B Q5_0,58,0,0.0697,154
Qwen2.5-1.5B Q5_0,59,1,0.1829,458
Qwen2.5-1.5B Q5_0,60,1,0.0802,147
Qwen2.5-1.5B Q5_0,61,1,0.0779,180
Qwen2.5-1.5B Q5_0,62,1,0.0680,191
Qwen2.5-1.5B Q5_0,63,1,0.0682,138
Qwen2.5-1.5B Q5_0,64,1,0.1114,480
Qwen2.5-1.5B Q5_0,65,1,0.0753,279
Qwen2.5-1.5B Q5_0,66,0,0.1063,343
