model,question,correct,seconds,prompt_chars
Qwen2.5-1.5B Q5_K_M,0,1,0.1569,321
Qwen2.5-1.5B Q5_K_M,1,1,0.1018,444
Qwen2.5-1.5B Q5_K_M,2,1,0.1049,355
Qwen2.5-1.5B Q5_K_M,3,1,0.1011,408
Qwen2.5-1.5B Q5_K_M,4,0,0.1040,470
Qwen2.5-1.5B Q5_K_M,5,0,0.1042,499
Qwen2.5-1.5B Q5_K_M,6,1,0.1059,516
Qwen2.5-1.5B Q5_K_M,7,1,0.1082,342
Qwen2.5-1.5B Q5_K_M,8,0,0.1198,480
Qwen2.5-1.5B Q5_K_M,9,1,0.0793,224
Qwen2.5-1.5B Q5_K_M,10,0,0.0795,275
Qwen2.5-1.5B Q5_K_M,11,1,0.0789,262
Qwen2.5-1.5B Q5_K_M,12,1,0.1167,185
Qwen2.5-1.5B Q5_K_M,13,0,0.0794,293
Qwen2.5-1.5B Q5_K_M,14,0,0.0762,168
Qwen2.5-1.5B Q5_K_M,15,1,0.0766,153
Qwen2.5-1.5B Q5_K_M,16,1,0.1143,468
Qwen2.5-1.5B Q5_K_M,17,1,0.1153,338
Qwen2.5-1.5B Q5_K_M,18,1,0.1184,485
Qwen2.5-1.5B Q5_K_M,19,1,0.1125,352
Qwen2.5-1.5B Q5_K_M,20,1,0.1099,332
Qwen2.5-1.5B Q5_K_M,21,1,0.1182,322
Qwen2.5-1.5B Q5_K_M,22,1,0.0808,232
Qwen2.5-1.5B Q5_K_M,23,1,0.1186,325
Qwen2.5-1.5B Q5_K_M,24,1,0.0753,105
Qwen2.5-1.5B Q5_K_M,25,1,0.0764,235
Qwen2.5-1.5B Q5_K_M,26,0,0.1165,436
Qwen2.5-1.5B Q5_K_M,27,1,0.1242,446
Qwen2.5-1.5B Q5_K_M,28,1,0.1137,319
Qwen2.5-1.5B Q5_K_M,29,1,0.0766,167
Qwen2.5-1.5B Q5_K_M,30,1,0.1185,379
Qwen2.5-1.5B Q5_K_M,31,1,0.0821,289
Qwen2.5-1.5B Q5_K_M,32,1,0.0778,192
Qwen2.5-1.5B Q5_K_M,33,1,0.0749,241
Qwen2.5-1.5B Q5_K_M,34,1,0.0765,128
Qwen2.5-1.5B Q5_K_M,35,1,0.1165,445
Qwen2.5-1.5B Q5_K_M,36,1,0.1159,376
Qwen2.5-1.5B Q5_K_M,37,1,0.0793,274
Qwen2.5-1.5B Q5_K_M,38,1,0.0803,284
Qwen2.5-1.5B Q5_K_M,39,1,0.1143,431
Qwen2.5-1.5B Q5_K_M,40,1,0.0806,270
Qwen2.5-1.5B Q5_K_M,41,0,0.0757,179
Qwen2.5-1.5B Q5_K_M,42,0,0.0740,129
Qwen2.5-1.5B Q5_K_M,43,1,0.1163,302
Qwen2.5-1.5B Q5_K_M,44,0,0.1119,380
