model,question,correct,seconds,prompt_chars
Qwen2.5-1.5B Q6_K,0,1,0.1517,321
Qwen2.5-1.5B Q6_K,1,1,0.1118,444
Qwen2.5-1.5B Q6_K,2,1,0.1150,355
Qwen2.5-1.5B Q6_K,3,1,0.1302,408
Qwen2.5-1.5B Q6_K,4,0,0.1355,470
Qwen2.5-1.5B Q6_K,5,0,0.1336,499
Qwen2.5-1.5B Q6_K,6,1,0.1323,516
Qwen2.5-1.5B Q6_K,7,1,0.1253,342
Qwen2.5-1.5B Q6_K,8,0,0.1319,480
Qwen2.5-1.5B Q6_K,9,1,0.0955,224
Qwen2.5-1.5B Q6_K,10,0,0.0984,275
Qwen2.5-1.5B Q6_K,11,1,0.0950,262
Qwen2.5-1.5B Q6_K,12,1,0.1345,185
Qwen2.5-1.5B Q6_K,13,0,0.0879,293
Qwen2.5-1.5B Q6_K,14,0,0.0876,168
Qwen2.5-1.5B Q6_K,15,1,0.0882,153
Qwen2.5-1.5B Q6_K,16,1,0.1264,468
Qwen2.5-1.5B Q6_K,17,1,0.1281,338
Qwen2.5-1.5B Q6_K,18,1,0.1294,485
Qwen2.5-1.5B Q6_K,19,1,0.1274,352
Qwen2.5-1.5B Q6_K,20,1,0.1268,332
Qwen2.5-1.5B Q6_K,21,1,0.1333,322
Qwen2.5-1.5B Q6_K,22,1,0.0886,232
Qwen2.5-1.5B Q6_K,23,1,0.1279,325
Qwen2.5-1.5B Q6_K,24,1,0.0848,105
Qwen2.5-1.5B Q6_K,25,1,0.0880,235
Qwen2.5-1.5B Q6_K,26,0,0.1321,436
Qwen2.5-1.5B Q6_K,27,1,0.1315,446
Qwen2.5-1.5B Q6_K,28,1,0.1304,319
Qwen2.5-1.5B Q6_K,29,1,0.0860,167
Qwen2.5-1.5B Q6_K,30,1,0.1277,379
Qwen2.5-1.5B Q6_K,31,1,0.0920,289
Qwen2.5-1.5B Q6_K,32,1,0.0886,192
Qwen2.5-1.5B Q6_K,33,1,0.0899,241
Qwen2.5-1.5B Q6_K,34,1,0.0870,128
Qwen2.5-1.5B Q6_K,35,0,0.1282,445
Qwen2.5-1.5B Q6_K,36,1,0.1280,376
Qwen2.5-1.5B Q6_K,37,0,0.0910,274
Qwen2.5-1.5B Q6_K,38,1,0.0901,284
Qwen2.5-1.5B Q6_K,39,1,0.1239,431
Qwen2.5-1.5B Q6_K,40,1,0.0915,270
Qwen2.5-1.5B Q6_K,41,0,0.0876,179
Qwen2.5-1.5B Q6_K,42,0,0.0896,129
Qwen2.5-1.5B Q6_K,43,1,0.1215,302
Qwen2.5-1.5B Q6_K,44,0,0.1221,380
Qwen2.5-1.5B Q6_K,45,1,0.0886,134
Qwen2.5-1.5B Q6_K,46,1,0.0876,153
Qwen2.5-1.5B Q6_K,47,1,0.0891,163
Qwen2.5-1.5B Q6_K,48,1,0.0873,221
Qwen2.5-1.5B Q6_K,49,0,0.0904,197
Qwen2.5-1.5B Q6_K,50,1,0.1325,419
Qwen2.5-1.5B Q6_K,51,1,0.1250,286
Qwen2.5-1.5B Q6_K,52,1,0.0900,196
Qwen2.5-1.5B Q6_K,53,0,0.0907,254
Qwen2.5-1.5B Q6_K,54,0,0.1239,312
Qwen2.5-1.5B Q6_K,55,1,0.1370,580
Qwen2.5-1.5B Q6_K,56,1,0.1260,316
Qwen2.5-1.5B Q6_K,57,1,0.1269,349
Qwen2.5-1.5B Q6_K,58,0,0.0837,154
Qwen2.5-1.5B Q6_K,59,1,0.2132,458
Qwen2.5-1.5B Q6_K,60,1,0.0891,147
Qwen2.5-1.5B Q6_K,61,1,0.0872,180
Qwen2.5-1.5B Q6_K,62,1,0.0904,191
Qwen2.5-1.5B Q6_K,63,1,0.0895,138
Qwen2.5-1.5B Q6_K,64,1,0.1298,480
Qwen2.5-1.5B Q6_K,65,1,0.0932,279
Qwen2.5-1.5B Q6_K,66,0,0.1329,343
Qwen2.5-1.5B Q6_K,67,0,0.1247,352
Qwen2.5-1.5B Q6_K,68,0,0.0890,182
Qwen2.5-1.5B Q6_K,69,0,0.0890,211
Qwen2.5-1.5B Q6_K,70,0,0.0916,228
Qwen2.5-1.5B Q6_K,71,1,0.0877,192
Qwen2.5-1.5B Q6_K,72,1,0.1268,391
Qwen2.5-1.5B Q6_K,73,1,0.0927,221
Qwen2.5-1.5B Q6_K,74,1,0.0925,296
Qwen2.5-1.5B Q6_K,75,1,0.0894,210
Qwen2.5-1.5B Q6_K,76,1,0.1322,399
Qwen2.5-1.5B Q6_K,77,1,0.1287,356
Qwen2.5-1.5B Q6_K,78,1,0.1252,327
Qwen2.5-1.5B Q6_K,79,1,0.0875,155
Qwen2.5-1.5B Q6_K,80,1,0.0878,193
Qwen2.5-1.5B Q6_K,81,1,0.0913,263
Qwen2.5-1.5B Q6_K,82,1,0.0890,138
Qwen2.5-1.5B Q6_K,83,1,0.0865,163
Qwen2.5-1.5B Q6_K,84,1,0.1334,505
Qwen2.5-1.5B Q6_K,85,1,0.0885,178
Qwen2.5-1.5B Q6_K,86,1,0.1338,600
Qwen2.5-1.5B Q6_K,87,0,0.1320,431
Qwen2.5-1.5B Q6_K,88,0,0.1272,221
Qwen2.5-1.5B Q6_K,89,1,0.0889,219
Qwen2.5-1.5B Q6_K,90,1,0.0886,174
Qwen2.5-1.5B Q6_K,91,1,0.1274,346
Qwen2.5-1.5B Q6_K,92,1,0.1277,307
Qwen2.5-1.5B Q6_K,93,1,0.1350,557
Qwen2.5-1.5B Q6_K,94,1,0.0922,289
Qwen2.5-1.5B Q6_K,95,0,0.0891,241
Qwen2.5-1.5B Q6_K,96,1,0.1290,388
Qwen2.5-1.5B Q6_K,97,1,0.0880,201
Qwen2.5-1.5B Q6_K,98,1,0.0908,232
Qwen2.5-1.5B Q6_K,99,1,0.0907,270
Qwen2.5-1.5B Q6_K,100,1,0.1304,466
Qwen2.5-1.5B Q6_K,101,1,0.1271,272
Qwen2.5-1.5B Q6_K,102,1,0.0877,165
Qwen2.5-1.5B Q6_K,103,1,0.0870,185
Qwen2.5-1.5B Q6_K,104,0,0.0926,232
Qwen2.5-1.5B Q6_K,105,1,0.1242,293
Qwen2.5-1.5B Q6_K,106,1,0.0909,248
Qwen2.5-1.5B Q6_K,107,1,0.1257,345
Qwen2.5-1.5B Q6_K,108,1,0.1249,294
Qwen2.5-1.5B Q6_K,109,0,0.0881,144
Qwen2.5-1.5B Q6_K,110,1,0.1320,489
Qwen2.5-1.5B Q6_K,111,1,0.0899,243
Qwen2.5-1.5B Q6_K,112,1,0.1244,284
Qwen2.5-1.5B Q6_K,113,1,0.0866,177
Qwen2.5-1.5B Q6_K,114,1,0.0875,238
Qwen2.5-1.5B Q6_K,115,1,0.0912,218
Qwen2.5-1.5B Q6_K,116,1,0.0914,244
Qwen2.5-1.5B Q6_K,117,1,0.0875,198
Qwen2.5-1.5B Q6_K,118,0,0.1258,247
Qwen2.5-1.5B Q6_K,119,1,0.1253,392
Qwen2.5-1.5B Q6_K,120,1,0.1267,348
Qwen2.5-1.5B Q6_K,121,1,0.0886,175
Qwen2.5-1.5B Q6_K,122,0,0.0905,314
Qwen2.5-1.5B Q6_K,123,1,0.1260,309
Qwen2.5-1.5B Q6_K,124,1,0.1262,334
Qwen2.5-1.5B Q6_K,125,1,0.0885,212
Qwen2.5-1.5B Q6_K,126,0,0.0863,143
Qwen2.5-1.5B Q6_K,127,0,0.0859,155
Qwen2.5-1.5B Q6_K,128,0,0.0699,126
Qwen2.5-1.5B Q6_K,129,0,0.0877,214
Qwen2.5-1.5B Q6_K,130,0,0.0909,154
Qwen2.5-1.5B Q6_K,131,1,0.0898,176
Qwen2.5-1.5B Q6_K,132,1,0.0880,168
Qwen2.5-1.5B Q6_K,133,1,0.0879,212
Qwen2.5-1.5B Q6_K,134,1,0.1253,356
Qwen2.5-1.5B Q6_K,135,0,0.1268,344
Qwen2.5-1.5B Q6_K,136,1,0.1271,380
Qwen2.5-1.5B Q6_K,137,1,0.0907,267
Qwen2.5-1.5B Q6_K,138,1,0.1273,309
Qwen2.5-1.5B Q6_K,139,0,0.0894,228
Qwen2.5-1.5B Q6_K,140,1,0.1277,295
Qwen2.5-1.5B Q6_K,141,1,0.1262,320
Qwen2.5-1.5B Q6_K,142,1,0.0892,217
Qwen2.5-1.5B Q6_K,143,0,0.1245,366
Qwen2.5-1.5B Q6_K,144,1,0.0886,193
Qwen2.5-1.5B Q6_K,145,1,0.1315,491
Qwen2.5-1.5B Q6_K,146,1,0.0875,184
Qwen2.5-1.5B Q6_K,147,0,0.0888,226
Qwen2.5-1.5B Q6_K,148,0,0.0881,91
Qwen2.5-1.5B Q6_K,149,1,0.0912,225
Qwen2.5-1.5B Q6_K,150,1,0.0882,257
Qwen2.5-1.5B Q6_K,151,1,0.0895,185
Qwen2.5-1.5B Q6_K,152,1,0.0899,163
Qwen2.5-1.5B Q6_K,153,0,0.1251,371
Qwen2.5-1.5B Q6_K,154,1,0.1275,319
Qwen2.5-1.5B Q6_K,155,1,0.0861,207
Qwen2.5-1.5B Q6_K,156,0,0.0855,118
Qwen2.5-1.5B Q6_K,157,1,0.0873,182
Qwen2.5-1.5B Q6_K,158,1,0.0876,177
Qwen2.5-1.5B Q6_K,159,1,0.0866,171
Qwen2.5-1.5B Q6_K,160,1,0.0921,265
Qwen2.5-1.5B Q6_K,161,1,0.0899,164
Qwen2.5-1.5B Q6_K,162,1,0.1345,532
Qwen2.5-1.5B Q6_K,163,1,0.0887,322
Qwen2.5-1.5B Q6_K,164,1,0.0861,152
Qwen2.5-1.5B Q6_K,165,1,0.0684,110
Qwen2.5-1.5B Q6_K,166,1,0.0873,228
Qwen2.5-1.5B Q6_K,167,1,0.0901,226
Qwen2.5-1.5B Q6_K,168,0,0.0882,192
Qwen2.5-1.5B Q6_K,169,1,0.1250,308
Qwen2.5-1.5B Q6_K,170,1,0.2206,324
Qwen2.5-1.5B Q6_K,171,1,0.0901,297
Qwen2.5-1.5B Q6_K,172,1,0.1299,332
Qwen2.5-1.5B Q6_K,173,1,0.0884,273
Qwen2.5-1.5B Q6_K,174,0,0.0906,145
Qwen2.5-1.5B Q6_K,175,0,0.1295,439
Qwen2.5-1.5B Q6_K,176,1,0.1246,263
Qwen2.5-1.5B Q6_K,177,1,0.1269,382
Qwen2.5-1.5B Q6_K,178,1,0.0938,202
Qwen2.5-1.5B Q6_K,179,1,0.0699,120
Qwen2.5-1.5B Q6_K,180,1,0.0894,143
Qwen2.5-1.5B Q6_K,181,1,0.1289,380
Qwen2.5-1.5B Q6_K,182,0,0.0840,169
Qwen2.5-1.5B Q6_K,183,1,0.1269,353
Qwen2.5-1.5B Q6_K,184,1,0.1263,382
Qwen2.5-1.5B Q6_K,185,1,0.1320,573
Qwen2.5-1.5B Q6_K,186,1,0.1325,473
Qwen2.5-1.5B Q6_K,187,0,0.1325,287
Qwen2.5-1.5B Q6_K,188,1,0.0885,179
Qwen2.5-1.5B Q6_K,189,1,0.0902,235
Qwen2.5-1.5B Q6_K,190,0,0.0911,246
Qwen2.5-1.5B Q6_K,191,0,0.1255,294
Qwen2.5-1.5B Q6_K,192,1,0.0912,174
