model,question,correct,seconds,prompt_chars
SmolLM2-1.7B Q5_0,0,1,0.2188,321
SmolLM2-1.7B Q5_0,1,0,0.1573,444
SmolLM2-1.7B Q5_0,2,1,0.1499,355
SmolLM2-1.7B Q5_0,3,1,0.1504,408
SmolLM2-1.7B Q5_0,4,0,0.1616,470
SmolLM2-1.7B Q5_0,5,1,0.1453,499
SmolLM2-1.7B Q5_0,6,1,0.1449,516
SmolLM2-1.7B Q5_0,7,1,0.1433,342
SmolLM2-1.7B Q5_0,8,0,0.1493,480
SmolLM2-1.7B Q5_0,9,1,0.1088,224
SmolLM2-1.7B Q5_0,10,0,0.0854,275
SmolLM2-1.7B Q5_0,11,1,0.0873,262
SmolLM2-1.7B Q5_0,12,1,0.1373,185
SmolLM2-1.7B Q5_0,13,1,0.1315,293
SmolLM2-1.7B Q5_0,14,0,0.0850,168
SmolLM2-1.7B Q5_0,15,0,0.0839,153
SmolLM2-1.7B Q5_0,16,1,0.1357,468
SmolLM2-1.7B Q5_0,17,0,0.1392,338
SmolLM2-1.7B Q5_0,18,0,0.1397,485
SmolLM2-1.7B Q5_0,19,0,0.1339,352
SmolLM2-1.7B Q5_0,20,1,0.1371,332
SmolLM2-1.7B Q5_0,21,1,0.2439,322
SmolLM2-1.7B Q5_0,22,1,0.0922,232
SmolLM2-1.7B Q5_0,23,0,0.1408,325
SmolLM2-1.7B Q5_0,24,0,0.0875,105
SmolLM2-1.7B Q5_0,25,0,0.1330,235
SmolLM2-1.7B Q5_0,26,0,0.1386,436
SmolLM2-1.7B Q5_0,27,0,0.1449,446
SmolLM2-1.7B Q5_0,28,1,0.1373,319
SmolLM2-1.7B Q5_0,29,1,0.0918,167
SmolLM2-1.7B Q5_0,30,1,0.1358,379
SmolLM2-1.7B Q5_0,31,1,0.0859,289
SmolLM2-1.7B Q5_0,32,1,0.0827,192
SmolLM2-1.7B Q5_0,33,1,0.0898,241
SmolLM2-1.7B Q5_0,34,0,0.0827,128
SmolLM2-1.7B Q5_0,35,0,0.1329,445
SmolLM2-1.7B Q5_0,36,0,0.1363,376
SmolLM2-1.7B Q5_0,37,0,0.1343,274
SmolLM2-1.7B Q5_0,38,1,0.0893,284
SmolLM2-1.7B Q5_0,39,1,0.1371,431
SmolLM2-1.7B Q5_0,40,1,0.0877,270
SmolLM2-1.7B Q5_0,41,0,0.0847,179
