model,question,correct,seconds,prompt_chars
SmolLM2-1.7B Q5_K_M,0,1,0.1856,321
SmolLM2-1.7B Q5_K_M,1,1,0.1527,444
SmolLM2-1.7B Q5_K_M,2,1,0.1671,355
SmolLM2-1.7B Q5_K_M,3,1,0.1427,408
SmolLM2-1.7B Q5_K_M,4,0,0.1498,470
SmolLM2-1.7B Q5_K_M,5,1,0.1505,499
SmolLM2-1.7B Q5_K_M,6,1,0.1501,516
SmolLM2-1.7B Q5_K_M,7,0,0.1550,342
SmolLM2-1.7B Q5_K_M,8,0,0.1693,480
SmolLM2-1.7B Q5_K_M,9,1,0.1388,224
SmolLM2-1.7B Q5_K_M,10,0,0.1103,275
SmolLM2-1.7B Q5_K_M,11,1,0.1074,262
SmolLM2-1.7B Q5_K_M,12,1,0.1558,185
SmolLM2-1.7B Q5_K_M,13,1,0.1560,293
SmolLM2-1.7B Q5_K_M,14,0,0.1046,168
SmolLM2-1.7B Q5_K_M,15,0,0.1031,153
SmolLM2-1.7B Q5_K_M,16,1,0.1588,468
SmolLM2-1.7B Q5_K_M,17,0,0.1623,338
SmolLM2-1.7B Q5_K_M,18,0,0.1507,485
SmolLM2-1.7B Q5_K_M,19,0,0.1431,352
SmolLM2-1.7B Q5_K_M,20,1,0.1419,332
SmolLM2-1.7B Q5_K_M,21,1,0.2447,322
SmolLM2-1.7B Q5_K_M,22,1,0.0954,232
SmolLM2-1.7B Q5_K_M,23,1,0.1512,325
SmolLM2-1.7B Q5_K_M,24,0,0.0907,105
SmolLM2-1.7B Q5_K_M,25,0,0.1356,235
SmolLM2-1.7B Q5_K_M,26,0,0.1458,436
SmolLM2-1.7B Q5_K_M,27,0,0.1519,446
SmolLM2-1.7B Q5_K_M,28,1,0.1436,319
SmolLM2-1.7B Q5_K_M,29,1,0.0928,167
SmolLM2-1.7B Q5_K_M,30,1,0.1431,379
SmolLM2-1.7B Q5_K_M,31,1,0.0958,289
SmolLM2-1.7B Q5_K_M,32,1,0.0976,192
SmolLM2-1.7B Q5_K_M,33,1,0.0914,241
SmolLM2-1.7B Q5_K_M,34,0,0.0907,128
SmolLM2-1.7B Q5_K_M,35,0,0.1424,445
SmolLM2-1.7B Q5_K_M,36,0,0.1433,376
SmolLM2-1.7B Q5_K_M,37,0,0.1402,274
SmolLM2-1.7B Q5_K_M,38,1,0.0949,284
SmolLM2-1.7B Q5_K_M,39,1,0.1420,431
SmolLM2-1.7B Q5_K_M,40,1,0.0944,270
SmolLM2-1.7B Q5_K_M,41,0,0.0950,179
SmolLM2-1.7B Q5_K_M,42,1,0.0875,129
SmolLM2-1.7B Q5_K_M,43,1,0.1390,302
SmolLM2-1.7B Q5_K_M,44,0,0.1401,380
SmolLM2-1.7B Q5_K_M,45,0,0.0890,134
SmolLM2-1.7B Q5_K_M,46,1,0.0896,153
SmolLM2-1.7B Q5_K_M,47,1,0.0916,163
SmolLM2-1.7B Q5_K_M,48,1,0.0900,221
SmolLM2-1.7B Q5_K_M,49,1,0.0908,197
SmolLM2-1.7B Q5_K_M,50,1,0.1461,419
SmolLM2-1.7B Q5_K_M,51,1,0.1372,286
SmolLM2-1.7B Q5_K_M,52,0,0.0929,196
SmolLM2-1.7B Q5_K_M,53,0,0.1374,254
SmolLM2-1.7B Q5_K_M,54,0,0.0929,312
SmolLM2-1.7B Q5_K_M,55,0,0.1479,580
SmolLM2-1.7B Q5_K_M,56,1,0.1438,316
SmolLM2-1.7B Q5_K_M,57,1,0.1422,349
SmolLM2-1.7B Q5_K_M,58,0,0.0901,154
SmolLM2-1.7B Q5_K_M,59,0,0.2430,458
SmolLM2-1.7B Q5_K_M,60,1,0.0950,147
SmolLM2-1.7B Q5_K_M,61,0,0.0883,180
SmolLM2-1.7B Q5_K_M,62,1,0.0894,191
SmolLM2-1.7B Q5_K_M,63,1,0.0874,138
SmolLM2-1.7B Q5_K_M,64,0,0.1552,480
SmolLM2-1.7B Q5_K_M,65,1,0.0931,279
SmolLM2-1.7B Q5_K_M,66,0,0.1435,343
SmolLM2-1.7B Q5_K_M,67,0,0.1397,352
SmolLM2-1.7B Q5_K_M,68,0,0.0932,182
SmolLM2-1.7B Q5_K_M,69,0,0.0898,211
SmolLM2-1.7B Q5_K_M,70,0,0.1375,228
SmolLM2-1.7B Q5_K_M,71,0,0.0913,192
SmolLM2-1.7B Q5_K_M,72,0,0.1397,391
SmolLM2-1.7B Q5_K_M,73,1,0.0953,221
SmolLM2-1.7B Q5_K_M,74,1,0.0958,296
SmolLM2-1.7B Q5_K_M,75,0,0.0940,210
SmolLM2-1.7B Q5_K_M,76,0,0.1464,399
SmolLM2-1.7B Q5_K_M,77,0,0.1451,356
SmolLM2-1.7B Q5_K_M,78,0,0.1571,327
SmolLM2-1.7B Q5_K_M,79,0,0.0881,155
SmolLM2-1.7B Q5_K_M,80,0,0.0897,193
