model,question,correct,seconds,prompt_chars
SmolLM2-1.7B Q6_K,0,1,0.1701,321
SmolLM2-1.7B Q6_K,1,1,0.1545,444
SmolLM2-1.7B Q6_K,2,1,0.1583,355
SmolLM2-1.7B Q6_K,3,0,0.1570,408
SmolLM2-1.7B Q6_K,4,0,0.1697,470
SmolLM2-1.7B Q6_K,5,1,0.1651,499
SmolLM2-1.7B Q6_K,6,1,0.1617,516
SmolLM2-1.7B Q6_K,7,0,0.1516,342
SmolLM2-1.7B Q6_K,8,0,0.1553,480
SmolLM2-1.7B Q6_K,9,1,0.1048,224
SmolLM2-1.7B Q6_K,10,0,0.1011,275
SmolLM2-1.7B Q6_K,11,1,0.1040,262
SmolLM2-1.7B Q6_K,12,1,0.1572,185
SmolLM2-1.7B Q6_K,13,1,0.1532,293
SmolLM2-1.7B Q6_K,14,0,0.1012,168
SmolLM2-1.7B Q6_K,15,0,0.1023,153
SmolLM2-1.7B Q6_K,16,1,0.1544,468
SmolLM2-1.7B Q6_K,17,0,0.1508,338
SmolLM2-1.7B Q6_K,18,0,0.1566,485
SmolLM2-1.7B Q6_K,19,0,0.1561,352
SmolLM2-1.7B Q6_K,20,1,0.1559,332
SmolLM2-1.7B Q6_K,21,1,0.2652,322
SmolLM2-1.7B Q6_K,22,1,0.1066,232
SmolLM2-1.7B Q6_K,23,1,0.1533,325
SmolLM2-1.7B Q6_K,24,0,0.0992,105
SmolLM2-1.7B Q6_K,25,0,0.1508,235
SmolLM2-1.7B Q6_K,26,0,0.1543,436
SmolLM2-1.7B Q6_K,27,0,0.1618,446
SmolLM2-1.7B Q6_K,28,1,0.1615,319
SmolLM2-1.7B Q6_K,29,1,0.1104,167
SmolLM2-1.7B Q6_K,30,1,0.1502,379
SmolLM2-1.7B Q6_K,31,1,0.1048,289
SmolLM2-1.7B Q6_K,32,1,0.1069,192
SmolLM2-1.7B Q6_K,33,1,0.1149,241
SmolLM2-1.7B Q6_K,34,0,0.0981,128
SmolLM2-1.7B Q6_K,35,0,0.1556,445
SmolLM2-1.7B Q6_K,36,0,0.1572,376
SmolLM2-1.7B Q6_K,37,0,0.1544,274
SmolLM2-1.7B Q6_K,38,1,0.1029,284
SmolLM2-1.7B Q6_K,39,1,0.1602,431
SmolLM2-1.7B Q6_K,40,1,0.1070,270
SmolLM2-1.7B Q6_K,41,0,0.0999,179
SmolLM2-1.7B Q6_K,42,1,0.0963,129
SmolLM2-1.7B Q6_K,43,1,0.1470,302
SmolLM2-1.7B Q6_K,44,0,0.1478,380
SmolLM2-1.7B Q6_K,45,0,0.0983,134
SmolLM2-1.7B Q6_K,46,1,0.1017,153
SmolLM2-1.7B Q6_K,47,1,0.0987,163
SmolLM2-1.7B Q6_K,48,1,0.0993,221
SmolLM2-1.7B Q6_K,49,1,0.1031,197
SmolLM2-1.7B Q6_K,50,1,0.1602,419
SmolLM2-1.7B Q6_K,51,1,0.1487,286
SmolLM2-1.7B Q6_K,52,1,0.1017,196
SmolLM2-1.7B Q6_K,53,0,0.1538,254
SmolLM2-1.7B Q6_K,54,0,0.1048,312
SmolLM2-1.7B Q6_K,55,0,0.1587,580
SmolLM2-1.7B Q6_K,56,1,0.1547,316
SmolLM2-1.7B Q6_K,57,1,0.1567,349
