model,question,correct,seconds,prompt_chars
glm-edge-1.5b Q4_1,0,1,0.1483,321
glm-edge-1.5b Q4_1,1,1,0.0988,444
glm-edge-1.5b Q4_1,2,1,0.1011,355
glm-edge-1.5b Q4_1,3,1,0.1065,408
glm-edge-1.5b Q4_1,4,1,0.1084,470
glm-edge-1.5b Q4_1,5,1,0.1134,499
glm-edge-1.5b Q4_1,6,1,0.1122,516
glm-edge-1.5b Q4_1,7,0,0.1121,342
glm-edge-1.5b Q4_1,8,0,0.1032,480
glm-edge-1.5b Q4_1,9,1,0.0792,224
glm-edge-1.5b Q4_1,10,0,0.0801,275
glm-edge-1.5b Q4_1,11,0,0.0706,262
glm-edge-1.5b Q4_1,12,0,0.0969,185
glm-edge-1.5b Q4_1,13,1,0.1011,293
glm-edge-1.5b Q4_1,14,0,0.0608,168
glm-edge-1.5b Q4_1,15,1,0.0640,153
glm-edge-1.5b Q4_1,16,1,0.1064,468
glm-edge-1.5b Q4_1,17,1,0.1051,338
glm-edge-1.5b Q4_1,18,1,0.1107,485
glm-edge-1.5b Q4_1,19,0,0.1026,352
glm-edge-1.5b Q4_1,20,1,0.0981,332
glm-edge-1.5b Q4_1,21,1,0.1082,322
glm-edge-1.5b Q4_1,22,1,0.0661,232
glm-edge-1.5b Q4_1,23,1,0.1067,325
glm-edge-1.5b Q4_1,24,0,0.0618,105
glm-edge-1.5b Q4_1,25,0,0.0661,235
glm-edge-1.5b Q4_1,26,0,0.1025,436
glm-edge-1.5b Q4_1,27,0,0.1033,446
glm-edge-1.5b Q4_1,28,0,0.1002,319
glm-edge-1.5b Q4_1,29,1,0.0634,167
glm-edge-1.5b Q4_1,30,1,0.1047,379
glm-edge-1.5b Q4_1,31,0,0.0638,289
glm-edge-1.5b Q4_1,32,1,0.0635,192
glm-edge-1.5b Q4_1,33,1,0.0634,241
glm-edge-1.5b Q4_1,34,0,0.0636,128
glm-edge-1.5b Q4_1,35,0,0.1014,445
glm-edge-1.5b Q4_1,36,0,0.1043,376
glm-edge-1.5b Q4_1,37,1,0.0993,274
glm-edge-1.5b Q4_1,38,1,0.0649,284
glm-edge-1.5b Q4_1,39,1,0.1019,431
glm-edge-1.5b Q4_1,40,1,0.0657,270
glm-edge-1.5b Q4_1,41,1,0.0628,179
glm-edge-1.5b Q4_1,42,1,0.0650,129
glm-edge-1.5b Q4_1,43,1,0.0999,302
glm-edge-1.5b Q4_1,44,1,0.1001,380
glm-edge-1.5b Q4_1,45,1,0.0616,134
glm-edge-1.5b Q4_1,46,1,0.0634,153
glm-edge-1.5b Q4_1,47,1,0.0621,163
glm-edge-1.5b Q4_1,48,0,0.0614,221
glm-edge-1.5b Q4_1,49,0,0.0655,197
glm-edge-1.5b Q4_1,50,0,0.1043,419
glm-edge-1.5b Q4_1,51,1,0.0989,286
glm-edge-1.5b Q4_1,52,0,0.0642,196
glm-edge-1.5b Q4_1,53,0,0.0662,254
glm-edge-1.5b Q4_1,54,0,0.0995,312
glm-edge-1.5b Q4_1,55,1,0.1698,580
glm-edge-1.5b Q4_1,56,1,0.1000,316
glm-edge-1.5b Q4_1,57,1,0.1008,349
glm-edge-1.5b Q4_1,58,0,0.0615,154
glm-edge-1.5b Q4_1,59,1,0.1715,458
glm-edge-1.5b Q4_1,60,1,0.0656,147
glm-edge-1.5b Q4_1,61,1,0.0635,180
glm-edge-1.5b Q4_1,62,1,0.0658,191
glm-edge-1.5b Q4_1,63,1,0.0632,138
glm-edge-1.5b Q4_1,64,1,0.1100,480
glm-edge-1.5b Q4_1,65,1,0.0685,279
glm-edge-1.5b Q4_1,66,0,0.1062,343
glm-edge-1.5b Q4_1,67,0,0.1090,352
glm-edge-1.5b Q4_1,68,0,0.0638,182
glm-edge-1.5b Q4_1,69,0,0.0674,211
glm-edge-1.5b Q4_1,70,0,0.0677,228
glm-edge-1.5b Q4_1,71,1,0.0672,192
glm-edge-1.5b Q4_1,72,0,0.1105,391
glm-edge-1.5b Q4_1,73,1,0.0658,221
glm-edge-1.5b Q4_1,74,1,0.0687,296
glm-edge-1.5b Q4_1,75,0,0.0622,210
glm-edge-1.5b Q4_1,76,1,0.1046,399
glm-edge-1.5b Q4_1,77,1,0.1050,356
glm-edge-1.5b Q4_1,78,1,0.0999,327
glm-edge-1.5b Q4_1,79,0,0.0596,155
glm-edge-1.5b Q4_1,80,1,0.0625,193
glm-edge-1.5b Q4_1,81,1,0.0637,263
glm-edge-1.5b Q4_1,82,0,0.0640,138
glm-edge-1.5b Q4_1,83,0,0.0583,163
glm-edge-1.5b Q4_1,84,0,0.1069,505
glm-edge-1.5b Q4_1,85,1,0.0626,178
glm-edge-1.5b Q4_1,86,1,0.1638,600
glm-edge-1.5b Q4_1,87,0,0.1044,431
glm-edge-1.5b Q4_1,88,0,0.1007,221
glm-edge-1.5b Q4_1,89,1,0.0635,219
glm-edge-1.5b Q4_1,90,1,0.0618,174
glm-edge-1.5b Q4_1,91,0,0.1020,346
glm-edge-1.5b Q4_1,92,0,0.0986,307
glm-edge-1.5b Q4_1,93,1,0.1087,557
glm-edge-1.5b Q4_1,94,1,0.0970,289
glm-edge-1.5b Q4_1,95,0,0.0644,241
glm-edge-1.5b Q4_1,96,1,0.1020,388
glm-edge-1.5b Q4_1,97,1,0.0637,201
glm-edge-1.5b Q4_1,98,1,0.0969,232
glm-edge-1.5b Q4_1,99,1,0.0968,270
glm-edge-1.5b Q4_1,100,1,0.1041,466
