model,question,correct,seconds,prompt_chars
glm-edge-1.5b Q5_K_M,0,1,0.1430,321
glm-edge-1.5b Q5_K_M,1,1,0.0994,444
glm-edge-1.5b Q5_K_M,2,1,0.0983,355
glm-edge-1.5b Q5_K_M,3,1,0.1010,408
glm-edge-1.5b Q5_K_M,4,0,0.1194,470
glm-edge-1.5b Q5_K_M,5,1,0.1652,499
glm-edge-1.5b Q5_K_M,6,1,0.1512,516
glm-edge-1.5b Q5_K_M,7,1,0.1263,342
glm-edge-1.5b Q5_K_M,8,0,0.1233,480
glm-edge-1.5b Q5_K_M,9,1,0.0799,224
glm-edge-1.5b Q5_K_M,10,0,0.0824,275
glm-edge-1.5b Q5_K_M,11,0,0.0792,262
glm-edge-1.5b Q5_K_M,12,0,0.1154,185
glm-edge-1.5b Q5_K_M,13,1,0.1150,293
glm-edge-1.5b Q5_K_M,14,1,0.0756,168
glm-edge-1.5b Q5_K_M,15,1,0.0790,153
glm-edge-1.5b Q5_K_M,16,1,0.1208,468
glm-edge-1.5b Q5_K_M,17,1,0.1281,338
glm-edge-1.5b Q5_K_M,18,1,0.1238,485
glm-edge-1.5b Q5_K_M,19,0,0.1244,352
glm-edge-1.5b Q5_K_M,20,1,0.1251,332
glm-edge-1.5b Q5_K_M,21,1,0.1231,322
glm-edge-1.5b Q5_K_M,22,1,0.0809,232
glm-edge-1.5b Q5_K_M,23,1,0.1225,325
glm-edge-1.5b Q5_K_M,24,0,0.0750,105
glm-edge-1.5b Q5_K_M,25,0,0.0825,235
glm-edge-1.5b Q5_K_M,26,0,0.1235,436
glm-edge-1.5b Q5_K_M,27,1,0.1270,446
glm-edge-1.5b Q5_K_M,28,0,0.1148,319
glm-edge-1.5b Q5_K_M,29,1,0.0840,167
glm-edge-1.5b Q5_K_M,30,1,0.1160,379
glm-edge-1.5b Q5_K_M,31,1,0.0788,289
glm-edge-1.5b Q5_K_M,32,1,0.0765,192
glm-edge-1.5b Q5_K_M,33,1,0.0782,241
glm-edge-1.5b Q5_K_M,34,0,0.0767,128
glm-edge-1.5b Q5_K_M,35,0,0.1194,445
glm-edge-1.5b Q5_K_M,36,1,0.1168,376
glm-edge-1.5b Q5_K_M,37,1,0.1150,274
glm-edge-1.5b Q5_K_M,38,1,0.0774,284
glm-edge-1.5b Q5_K_M,39,1,0.1225,431
glm-edge-1.5b Q5_K_M,40,1,0.0769,270
glm-edge-1.5b Q5_K_M,41,1,0.0764,179
glm-edge-1.5b Q5_K_M,42,0,0.0771,129
glm-edge-1.5b Q5_K_M,43,1,0.1153,302
glm-edge-1.5b Q5_K_M,44,1,0.1163,380
glm-edge-1.5b Q5_K_M,45,1,0.0742,134
glm-edge-1.5b Q5_K_M,46,1,0.0762,153
glm-edge-1.5b Q5_K_M,47,1,0.0768,163
glm-edge-1.5b Q5_K_M,48,0,0.0752,221
glm-edge-1.5b Q5_K_M,49,0,0.0818,197
glm-edge-1.5b Q5_K_M,50,0,0.1229,419
glm-edge-1.5b Q5_K_M,51,1,0.1161,286
glm-edge-1.5b Q5_K_M,52,0,0.0760,196
glm-edge-1.5b Q5_K_M,53,0,0.0792,254
glm-edge-1.5b Q5_K_M,54,0,0.1146,312
glm-edge-1.5b Q5_K_M,55,1,0.1997,580
