model,question,correct,seconds,prompt_chars
glm-edge-1.5b Q6_K,0,1,0.1477,321
glm-edge-1.5b Q6_K,1,1,0.1060,444
glm-edge-1.5b Q6_K,2,1,0.1258,355
glm-edge-1.5b Q6_K,3,1,0.1329,408
glm-edge-1.5b Q6_K,4,0,0.1327,470
glm-edge-1.5b Q6_K,5,1,0.1301,499
glm-edge-1.5b Q6_K,6,1,0.1310,516
glm-edge-1.5b Q6_K,7,0,0.1280,342
glm-edge-1.5b Q6_K,8,0,0.1290,480
glm-edge-1.5b Q6_K,9,1,0.0839,224
glm-edge-1.5b Q6_K,10,0,0.0899,275
glm-edge-1.5b Q6_K,11,0,0.0872,262
glm-edge-1.5b Q6_K,12,0,0.1272,185
glm-edge-1.5b Q6_K,13,1,0.1233,293
glm-edge-1.5b Q6_K,14,1,0.0815,168
glm-edge-1.5b Q6_K,15,1,0.0871,153
glm-edge-1.5b Q6_K,16,1,0.1307,468
glm-edge-1.5b Q6_K,17,1,0.1263,338
glm-edge-1.5b Q6_K,18,1,0.1285,485
glm-edge-1.5b Q6_K,19,0,0.1247,352
glm-edge-1.5b Q6_K,20,1,0.1270,332
glm-edge-1.5b Q6_K,21,1,0.1319,322
glm-edge-1.5b Q6_K,22,1,0.0881,232
glm-edge-1.5b Q6_K,23,1,0.1262,325
glm-edge-1.5b Q6_K,24,0,0.0794,105
glm-edge-1.5b Q6_K,25,0,0.0891,235
glm-edge-1.5b Q6_K,26,0,0.1257,436
glm-edge-1.5b Q6_K,27,0,0.1278,446
glm-edge-1.5b Q6_K,28,0,0.1248,319
glm-edge-1.5b Q6_K,29,1,0.0819,167
glm-edge-1.5b Q6_K,30,1,0.1263,379
glm-edge-1.5b Q6_K,31,1,0.0844,289
glm-edge-1.5b Q6_K,32,1,0.0828,192
glm-edge-1.5b Q6_K,33,1,0.0868,241
glm-edge-1.5b Q6_K,34,0,0.0827,128
glm-edge-1.5b Q6_K,35,0,0.1283,445
glm-edge-1.5b Q6_K,36,1,0.1252,376
glm-edge-1.5b Q6_K,37,1,0.1210,274
glm-edge-1.5b Q6_K,38,1,0.0874,284
glm-edge-1.5b Q6_K,39,1,0.1312,431
glm-edge-1.5b Q6_K,40,1,0.0933,270
glm-edge-1.5b Q6_K,41,0,0.0884,179
glm-edge-1.5b Q6_K,42,0,0.0944,129
glm-edge-1.5b Q6_K,43,1,0.1319,302
glm-edge-1.5b Q6_K,44,1,0.1259,380
glm-edge-1.5b Q6_K,45,1,0.0813,134
glm-edge-1.5b Q6_K,46,1,0.0825,153
glm-edge-1.5b Q6_K,47,1,0.0839,163
glm-edge-1.5b Q6_K,48,0,0.0847,221
glm-edge-1.5b Q6_K,49,0,0.0864,197
glm-edge-1.5b Q6_K,50,0,0.1325,419
glm-edge-1.5b Q6_K,51,1,0.1245,286
glm-edge-1.5b Q6_K,52,0,0.0842,196
glm-edge-1.5b Q6_K,53,0,0.0879,254
glm-edge-1.5b Q6_K,54,0,0.1257,312
glm-edge-1.5b Q6_K,55,1,0.2109,580
glm-edge-1.5b Q6_K,56,1,0.1298,316
glm-edge-1.5b Q6_K,57,1,0.1323,349
glm-edge-1.5b Q6_K,58,0,0.0817,154
glm-edge-1.5b Q6_K,59,1,0.2113,458
glm-edge-1.5b Q6_K,60,1,0.0860,147
glm-edge-1.5b Q6_K,61,1,0.0856,180
glm-edge-1.5b Q6_K,62,1,0.0852,191
glm-edge-1.5b Q6_K,63,1,0.0837,138
glm-edge-1.5b Q6_K,64,1,0.1306,480
glm-edge-1.5b Q6_K,65,1,0.0857,279
glm-edge-1.5b Q6_K,66,0,0.1285,343
glm-edge-1.5b Q6_K,67,0,0.1254,352
glm-edge-1.5b Q6_K,68,0,0.0830,182
glm-edge-1.5b Q6_K,69,0,0.0857,211
glm-edge-1.5b Q6_K,70,0,0.0911,228
glm-edge-1.5b Q6_K,71,1,0.0879,192
glm-edge-1.5b Q6_K,72,1,0.1403,391
glm-edge-1.5b Q6_K,73,1,0.1021,221
glm-edge-1.5b Q6_K,74,1,0.1005,296
glm-edge-1.5b Q6_K,75,0,0.0951,210
glm-edge-1.5b Q6_K,76,1,0.1422,399
glm-edge-1.5b Q6_K,77,1,0.1353,356
glm-edge-1.5b Q6_K,78,1,0.1346,327
glm-edge-1.5b Q6_K,79,0,0.0919,155
glm-edge-1.5b Q6_K,80,1,0.0971,193
glm-edge-1.5b Q6_K,81,1,0.0950,263
glm-edge-1.5b Q6_K,82,0,0.0967,138
glm-edge-1.5b Q6_K,83,0,0.0953,163
glm-edge-1.5b Q6_K,84,0,0.1433,505
glm-edge-1.5b Q6_K,85,1,0.0855,178
glm-edge-1.5b Q6_K,86,0,0.2177,600
glm-edge-1.5b Q6_K,87,0,0.1336,431
glm-edge-1.5b Q6_K,88,0,0.1231,221
glm-edge-1.5b Q6_K,89,0,0.0865,219
glm-edge-1.5b Q6_K,90,1,0.0900,174
glm-edge-1.5b Q6_K,91,0,0.1283,346
glm-edge-1.5b Q6_K,92,0,0.1200,307
glm-edge-1.5b Q6_K,93,1,0.1327,557
glm-edge-1.5b Q6_K,94,1,0.1235,289
glm-edge-1.5b Q6_K,95,0,0.0854,241
glm-edge-1.5b Q6_K,96,1,0.1275,388
glm-edge-1.5b Q6_K,97,1,0.0860,201
glm-edge-1.5b Q6_K,98,1,0.1225,232
glm-edge-1.5b Q6_K,99,1,0.1243,270
glm-edge-1.5b Q6_K,100,1,0.1243,466
glm-edge-1.5b Q6_K,101,0,0.1254,272
glm-edge-1.5b Q6_K,102,0,0.0876,165
glm-edge-1.5b Q6_K,103,1,0.0964,185
glm-edge-1.5b Q6_K,104,1,0.1158,232
glm-edge-1.5b Q6_K,105,0,0.1550,293
glm-edge-1.5b Q6_K,106,1,0.0996,248
glm-edge-1.5b Q6_K,107,1,0.1386,345
glm-edge-1.5b Q6_K,108,1,0.1349,294
glm-edge-1.5b Q6_K,109,0,0.1010,144
glm-edge-1.5b Q6_K,110,0,0.1622,489
glm-edge-1.5b Q6_K,111,0,0.0967,243
glm-edge-1.5b Q6_K,112,0,0.1343,284
glm-edge-1.5b Q6_K,113,0,0.0840,177
glm-edge-1.5b Q6_K,114,1,0.0895,238
glm-edge-1.5b Q6_K,115,0,0.0945,218
glm-edge-1.5b Q6_K,116,1,0.0982,244
glm-edge-1.5b Q6_K,117,1,0.0944,198
glm-edge-1.5b Q6_K,118,0,0.1358,247
glm-edge-1.5b Q6_K,119,1,0.1252,392
glm-edge-1.5b Q6_K,120,1,0.1254,348
glm-edge-1.5b Q6_K,121,1,0.0847,175
glm-edge-1.5b Q6_K,122,0,0.1235,314
glm-edge-1.5b Q6_K,123,1,0.1272,309
glm-edge-1.5b Q6_K,124,1,0.1240,334
glm-edge-1.5b Q6_K,125,1,0.0859,212
glm-edge-1.5b Q6_K,126,0,0.0833,143
glm-edge-1.5b Q6_K,127,0,0.0837,155
glm-edge-1.5b Q6_K,128,1,0.0834,126
glm-edge-1.5b Q6_K,129,1,0.0877,214
glm-edge-1.5b Q6_K,130,0,0.0843,154
glm-edge-1.5b Q6_K,131,1,0.0858,176
glm-edge-1.5b Q6_K,132,1,0.0830,168
glm-edge-1.5b Q6_K,133,1,0.0861,212
glm-edge-1.5b Q6_K,134,0,0.1330,356
glm-edge-1.5b Q6_K,135,1,0.1226,344
glm-edge-1.5b Q6_K,136,1,0.1243,380
glm-edge-1.5b Q6_K,137,1,0.0882,267
glm-edge-1.5b Q6_K,138,1,0.1234,309
glm-edge-1.5b Q6_K,139,0,0.0888,228
glm-edge-1.5b Q6_K,140,1,0.1271,295
glm-edge-1.5b Q6_K,141,1,0.1242,320
glm-edge-1.5b Q6_K,142,0,0.0865,217
glm-edge-1.5b Q6_K,143,1,0.1295,366
glm-edge-1.5b Q6_K,144,1,0.0831,193
glm-edge-1.5b Q6_K,145,0,0.1320,491
glm-edge-1.5b Q6_K,146,1,0.0818,184
glm-edge-1.5b Q6_K,147,0,0.0869,226
glm-edge-1.5b Q6_K,148,0,0.0853,91
glm-edge-1.5b Q6_K,149,1,0.0868,225
glm-edge-1.5b Q6_K,150,1,0.0874,257
glm-edge-1.5b Q6_K,151,1,0.0830,185
glm-edge-1.5b Q6_K,152,1,0.0865,163
glm-edge-1.5b Q6_K,153,0,0.1275,371
