model,question,correct,seconds,prompt_chars
qwen2.5-1.5b-base-Q4_0,0,1,0.1389,321
qwen2.5-1.5b-base-Q4_0,1,1,0.0880,444
qwen2.5-1.5b-base-Q4_0,2,1,0.0841,355
qwen2.5-1.5b-base-Q4_0,3,1,0.0862,408
qwen2.5-1.5b-base-Q4_0,4,0,0.0888,470
qwen2.5-1.5b-base-Q4_0,5,0,0.0899,499
qwen2.5-1.5b-base-Q4_0,6,0,0.0872,516
qwen2.5-1.5b-base-Q4_0,7,1,0.0832,342
qwen2.5-1.5b-base-Q4_0,8,0,0.0858,480
qwen2.5-1.5b-base-Q4_0,9,1,0.0619,224
qwen2.5-1.5b-base-Q4_0,10,1,0.0537,275
qwen2.5-1.5b-base-Q4_0,11,1,0.0562,262
qwen2.5-1.5b-base-Q4_0,12,0,0.0851,185
qwen2.5-1.5b-base-Q4_0,13,0,0.0540,293
qwen2.5-1.5b-base-Q4_0,14,0,0.0513,168
qwen2.5-1.5b-base-Q4_0,15,1,0.0522,153
qwen2.5-1.5b-base-Q4_0,16,1,0.0871,468
qwen2.5-1.5b-base-Q4_0,17,1,0.0872,338
qwen2.5-1.5b-base-Q4_0,18,1,0.0898,485
qwen2.5-1.5b-base-Q4_0,19,1,0.0866,352
qwen2.5-1.5b-base-Q4_0,20,1,0.0889,332
qwen2.5-1.5b-base-Q4_0,21,1,0.0991,322
qwen2.5-1.5b-base-Q4_0,22,1,0.0624,232
qwen2.5-1.5b-base-Q4_0,23,0,0.0950,325
qwen2.5-1.5b-base-Q4_0,24,1,0.0599,105
qwen2.5-1.5b-base-Q4_0,25,1,0.0594,235
qwen2.5-1.5b-base-Q4_0,26,0,0.0903,436
qwen2.5-1.5b-base-Q4_0,27,0,0.0952,446
qwen2.5-1.5b-base-Q4_0,28,0,0.0916,319
qwen2.5-1.5b-base-Q4_0,29,1,0.0591,167
qwen2.5-1.5b-base-Q4_0,30,1,0.0898,379
qwen2.5-1.5b-base-Q4_0,31,1,0.0619,289
qwen2.5-1.5b-base-Q4_0,32,1,0.0607,192
qwen2.5-1.5b-base-Q4_0,33,1,0.0601,241
qwen2.5-1.5b-base-Q4_0,34,1,0.0588,128
qwen2.5-1.5b-base-Q4_0,35,1,0.0915,445
