model,question,correct,seconds,prompt_chars
qwen3-1.7b-Q4_K_M,0,1,0.1607,321
qwen3-1.7b-Q4_K_M,1,1,0.1144,444
qwen3-1.7b-Q4_K_M,2,0,0.1078,355
qwen3-1.7b-Q4_K_M,3,1,0.1139,408
qwen3-1.7b-Q4_K_M,4,0,0.1150,470
qwen3-1.7b-Q4_K_M,5,0,0.1245,499
qwen3-1.7b-Q4_K_M,6,1,0.1439,516
qwen3-1.7b-Q4_K_M,7,1,0.1352,342
qwen3-1.7b-Q4_K_M,8,0,0.1339,480
qwen3-1.7b-Q4_K_M,9,1,0.1190,224
qwen3-1.7b-Q4_K_M,10,0,0.0803,275
qwen3-1.7b-Q4_K_M,11,1,0.0741,262
qwen3-1.7b-Q4_K_M,12,1,0.1266,185
qwen3-1.7b-Q4_K_M,13,0,0.0911,293
qwen3-1.7b-Q4_K_M,14,1,0.0868,168
qwen3-1.7b-Q4_K_M,15,1,0.0771,153
qwen3-1.7b-Q4_K_M,16,1,0.1219,468
qwen3-1.7b-Q4_K_M,17,0,0.1230,338
qwen3-1.7b-Q4_K_M,18,0,0.1322,485
qwen3-1.7b-Q4_K_M,19,0,0.1288,352
qwen3-1.7b-Q4_K_M,20,1,0.1259,332
qwen3-1.7b-Q4_K_M,21,1,0.1368,322
qwen3-1.7b-Q4_K_M,22,1,0.0949,232
qwen3-1.7b-Q4_K_M,23,1,0.1410,325
qwen3-1.7b-Q4_K_M,24,1,0.1187,105
qwen3-1.7b-Q4_K_M,25,1,0.1054,235
qwen3-1.7b-Q4_K_M,26,1,0.1510,436
qwen3-1.7b-Q4_K_M,27,0,0.1405,446
qwen3-1.7b-Q4_K_M,28,1,0.1346,319
qwen3-1.7b-Q4_K_M,29,1,0.0914,167
qwen3-1.7b-Q4_K_M,30,1,0.1285,379
qwen3-1.7b-Q4_K_M,31,1,0.0798,289
qwen3-1.7b-Q4_K_M,32,1,0.0845,192
qwen3-1.7b-Q4_K_M,33,1,0.0816,241
qwen3-1.7b-Q4_K_M,34,1,0.0742,128
qwen3-1.7b-Q4_K_M,35,1,0.1244,445
qwen3-1.7b-Q4_K_M,36,0,0.1290,376
qwen3-1.7b-Q4_K_M,37,0,0.0915,274
qwen3-1.7b-Q4_K_M,38,1,0.0935,284
qwen3-1.7b-Q4_K_M,39,1,0.1310,431
qwen3-1.7b-Q4_K_M,40,1,0.0925,270
qwen3-1.7b-Q4_K_M,41,1,0.0893,179
qwen3-1.7b-Q4_K_M,42,0,0.0954,129
qwen3-1.7b-Q4_K_M,43,1,0.1296,302
qwen3-1.7b-Q4_K_M,44,0,0.1285,380
qwen3-1.7b-Q4_K_M,45,1,0.0820,134
qwen3-1.7b-Q4_K_M,46,1,0.0824,153
qwen3-1.7b-Q4_K_M,47,1,0.0811,163
qwen3-1.7b-Q4_K_M,48,0,0.0766,221
qwen3-1.7b-Q4_K_M,49,0,0.0786,197
qwen3-1.7b-Q4_K_M,50,1,0.1236,419
qwen3-1.7b-Q4_K_M,51,1,0.1158,286
qwen3-1.7b-Q4_K_M,52,1,0.0768,196
qwen3-1.7b-Q4_K_M,53,0,0.0770,254
qwen3-1.7b-Q4_K_M,54,0,0.1143,312
qwen3-1.7b-Q4_K_M,55,1,0.1270,580
qwen3-1.7b-Q4_K_M,56,1,0.1177,316
qwen3-1.7b-Q4_K_M,57,1,0.1260,349
qwen3-1.7b-Q4_K_M,58,1,0.0921,154
