model,question,correct,seconds,prompt_chars
smollm2-1.7b-Q5_0,0,1,0.1606,321
smollm2-1.7b-Q5_0,1,0,0.1115,444
smollm2-1.7b-Q5_0,2,1,0.1139,355
smollm2-1.7b-Q5_0,3,1,0.1137,408
smollm2-1.7b-Q5_0,4,0,0.1312,470
smollm2-1.7b-Q5_0,5,1,0.1408,499
smollm2-1.7b-Q5_0,6,1,0.1417,516
smollm2-1.7b-Q5_0,7,1,0.1293,342
smollm2-1.7b-Q5_0,8,0,0.1368,480
smollm2-1.7b-Q5_0,9,1,0.0820,224
smollm2-1.7b-Q5_0,10,0,0.0827,275
smollm2-1.7b-Q5_0,11,1,0.0862,262
smollm2-1.7b-Q5_0,12,1,0.1299,185
smollm2-1.7b-Q5_0,13,1,0.1303,293
smollm2-1.7b-Q5_0,14,0,0.0819,168
smollm2-1.7b-Q5_0,15,0,0.0826,153
smollm2-1.7b-Q5_0,16,1,0.1313,468
smollm2-1.7b-Q5_0,17,0,0.1322,338
smollm2-1.7b-Q5_0,18,0,0.1340,485
smollm2-1.7b-Q5_0,19,0,0.1328,352
smollm2-1.7b-Q5_0,20,1,0.1295,332
smollm2-1.7b-Q5_0,21,1,0.2227,322
smollm2-1.7b-Q5_0,22,1,0.0860,232
smollm2-1.7b-Q5_0,23,0,0.1374,325
smollm2-1.7b-Q5_0,24,0,0.0811,105
smollm2-1.7b-Q5_0,25,0,0.1275,235
smollm2-1.7b-Q5_0,26,0,0.1319,436
smollm2-1.7b-Q5_0,27,0,0.1502,446
smollm2-1.7b-Q5_0,28,1,0.1416,319
smollm2-1.7b-Q5_0,29,1,0.0844,167
smollm2-1.7b-Q5_0,30,1,0.1398,379
smollm2-1.7b-Q5_0,31,1,0.0893,289
smollm2-1.7b-Q5_0,32,1,0.0861,192
smollm2-1.7b-Q5_0,33,1,0.0840,241
smollm2-1.7b-Q5_0,34,0,0.0785,128
smollm2-1.7b-Q5_0,35,0,0.1295,445
smollm2-1.7b-Q5_0,36,0,0.1406,376
smollm2-1.7b-Q5_0,37,0,0.1338,274
smollm2-1.7b-Q5_0,38,1,0.0871,284
smollm2-1.7b-Q5_0,39,1,0.1333,431
smollm2-1.7b-Q5_0,40,1,0.0867,270
smollm2-1.7b-Q5_0,41,0,0.0841,179
smollm2-1.7b-Q5_0,42,1,0.0833,129
smollm2-1.7b-Q5_0,43,1,0.1344,302
smollm2-1.7b-Q5_0,44,0,0.1449,380
smollm2-1.7b-Q5_0,45,0,0.0913,134
smollm2-1.7b-Q5_0,46,1,0.0862,153
smollm2-1.7b-Q5_0,47,1,0.0827,163
smollm2-1.7b-Q5_0,48,0,0.0801,221
smollm2-1.7b-Q5_0,49,1,0.0856,197
smollm2-1.7b-Q5_0,50,0,0.1387,419
smollm2-1.7b-Q5_0,51,1,0.1352,286
smollm2-1.7b-Q5_0,52,1,0.0858,196
smollm2-1.7b-Q5_0,53,0,0.1463,254
smollm2-1.7b-Q5_0,54,0,0.1007,312
smollm2-1.7b-Q5_0,55,0,0.1527,580
smollm2-1.7b-Q5_0,56,1,0.1362,316
smollm2-1.7b-Q5_0,57,1,0.1941,349
smollm2-1.7b-Q5_0,58,1,0.1006,154
smollm2-1.7b-Q5_0,59,0,0.2484,458
smollm2-1.7b-Q5_0,60,1,0.1029,147
smollm2-1.7b-Q5_0,61,1,0.0927,180
smollm2-1.7b-Q5_0,62,1,0.0811,191
smollm2-1.7b-Q5_0,63,1,0.0795,138
smollm2-1.7b-Q5_0,64,0,0.1392,480
smollm2-1.7b-Q5_0,65,1,0.0889,279
smollm2-1.7b-Q5_0,66,0,0.1392,343
smollm2-1.7b-Q5_0,67,0,0.1374,352
smollm2-1.7b-Q5_0,68,0,0.0962,182
smollm2-1.7b-Q5_0,69,0,0.0942,211
smollm2-1.7b-Q5_0,70,0,0.1404,228
smollm2-1.7b-Q5_0,71,0,0.0946,192
smollm2-1.7b-Q5_0,72,0,0.1407,391
smollm2-1.7b-Q5_0,73,1,0.0955,221
smollm2-1.7b-Q5_0,74,1,0.0963,296
smollm2-1.7b-Q5_0,75,0,0.0953,210
smollm2-1.7b-Q5_0,76,0,0.1410,399
smollm2-1.7b-Q5_0,77,0,0.1457,356
smollm2-1.7b-Q5_0,78,0,0.1313,327
smollm2-1.7b-Q5_0,79,0,0.0837,155
smollm2-1.7b-Q5_0,80,0,0.0829,193
smollm2-1.7b-Q5_0,81,1,0.0827,263
smollm2-1.7b-Q5_0,82,1,0.0823,138
smollm2-1.7b-Q5_0,83,1,0.0807,163
smollm2-1.7b-Q5_0,84,0,0.1352,505
smollm2-1.7b-Q5_0,85,0,0.0858,178
smollm2-1.7b-Q5_0,86,1,0.1393,600
smollm2-1.7b-Q5_0,87,0,0.1360,431
smollm2-1.7b-Q5_0,88,1,0.1376,221
smollm2-1.7b-Q5_0,89,1,0.0838,219
smollm2-1.7b-Q5_0,90,1,0.0837,174
smollm2-1.7b-Q5_0,91,0,0.1293,346
smollm2-1.7b-Q5_0,92,1,0.1293,307
smollm2-1.7b-Q5_0,93,1,0.1410,557
smollm2-1.7b-Q5_0,94,1,0.1308,289
smollm2-1.7b-Q5_0,95,1,0.0835,241
smollm2-1.7b-Q5_0,96,1,0.1299,388
smollm2-1.7b-Q5_0,97,1,0.0861,201
smollm2-1.7b-Q5_0,98,0,0.0849,232
smollm2-1.7b-Q5_0,99,1,0.1271,270
smollm2-1.7b-Q5_0,100,1,0.1327,466
smollm2-1.7b-Q5_0,101,1,0.1288,272
smollm2-1.7b-Q5_0,102,1,0.0832,165
smollm2-1.7b-Q5_0,103,0,0.0817,185
smollm2-1.7b-Q5_0,104,1,0.0831,232
smollm2-1.7b-Q5_0,105,0,0.1283,293
smollm2-1.7b-Q5_0,106,1,0.0853,248
smollm2-1.7b-Q5_0,107,0,0.1321,345
smollm2-1.7b-Q5_0,108,1,0.1330,294
smollm2-1.7b-Q5_0,109,0,0.0829,144
smollm2-1.7b-Q5_0,110,0,0.1352,489
smollm2-1.7b-Q5_0,111,1,0.0872,243
smollm2-1.7b-Q5_0,112,1,0.1288,284
smollm2-1.7b-Q5_0,113,0,0.0813,177
smollm2-1.7b-Q5_0,114,0,0.0811,238
smollm2-1.7b-Q5_0,115,1,0.0837,218
smollm2-1.7b-Q5_0,116,1,0.0813,244
smollm2-1.7b-Q5_0,117,1,0.0847,198
smollm2-1.7b-Q5_0,118,1,0.1306,247
smollm2-1.7b-Q5_0,119,1,0.1311,392
smollm2-1.7b-Q5_0,120,1,0.1300,348
smollm2-1.7b-Q5_0,121,0,0.0819,175
smollm2-1.7b-Q5_0,122,0,0.1266,314
smollm2-1.7b-Q5_0,123,1,0.1321,309
smollm2-1.7b-Q5_0,124,0,0.1304,334
smollm2-1.7b-Q5_0,125,1,0.0842,212
smollm2-1.7b-Q5_0,126,0,0.0821,143
smollm2-1.7b-Q5_0,127,0,0.0802,155
smollm2-1.7b-Q5_0,128,0,0.0779,126
smollm2-1.7b-Q5_0,129,1,0.0832,214
smollm2-1.7b-Q5_0,130,0,0.0818,154
smollm2-1.7b-Q5_0,131,1,0.0810,176
smollm2-1.7b-Q5_0,132,0,0.0819,168
smollm2-1.7b-Q5_0,133,1,0.0832,212
smollm2-1.7b-Q5_0,134,1,0.1282,356
smollm2-1.7b-Q5_0,135,0,0.1299,344
smollm2-1.7b-Q5_0,136,1,0.1344,380
smollm2-1.7b-Q5_0,137,1,0.1293,267
smollm2-1.7b-Q5_0,138,1,0.1330,309
smollm2-1.7b-Q5_0,139,0,0.0829,228
smollm2-1.7b-Q5_0,140,1,0.1288,295
smollm2-1.7b-Q5_0,141,1,0.1295,320
smollm2-1.7b-Q5_0,142,0,0.0831,217
smollm2-1.7b-Q5_0,143,0,0.1323,366
smollm2-1.7b-Q5_0,144,1,0.0816,193
smollm2-1.7b-Q5_0,145,1,0.1355,491
smollm2-1.7b-Q5_0,146,0,0.0824,184
smollm2-1.7b-Q5_0,147,1,0.0850,226
smollm2-1.7b-Q5_0,148,1,0.1007,91
smollm2-1.7b-Q5_0,149,1,0.1132,225
smollm2-1.7b-Q5_0,150,0,0.1028,257
smollm2-1.7b-Q5_0,151,0,0.0819,185
smollm2-1.7b-Q5_0,152,0,0.0775,163
smollm2-1.7b-Q5_0,153,0,0.1271,371
smollm2-1.7b-Q5_0,154,0,0.1307,319
smollm2-1.7b-Q5_0,155,0,0.0859,207
smollm2-1.7b-Q5_0,156,0,0.0810,118
smollm2-1.7b-Q5_0,157,1,0.0844,182
smollm2-1.7b-Q5_0,158,0,0.0801,177
smollm2-1.7b-Q5_0,159,0,0.0789,171
smollm2-1.7b-Q5_0,160,0,0.0866,265
smollm2-1.7b-Q5_0,161,0,0.0948,164
smollm2-1.7b-Q5_0,162,0,0.1483,532
smollm2-1.7b-Q5_0,163,0,0.1447,322
smollm2-1.7b-Q5_0,164,1,0.0922,152
smollm2-1.7b-Q5_0,165,0,0.0935,110
smollm2-1.7b-Q5_0,166,1,0.0923,228
smollm2-1.7b-Q5_0,167,0,0.0905,226
smollm2-1.7b-Q5_0,168,0,0.0847,192
smollm2-1.7b-Q5_0,169,0,0.1313,308
smollm2-1.7b-Q5_0,170,0,0.2404,324
smollm2-1.7b-Q5_0,171,1,0.1715,297
smollm2-1.7b-Q5_0,172,0,0.1383,332
smollm2-1.7b-Q5_0,173,0,0.0948,273
smollm2-1.7b-Q5_0,174,1,0.0872,145
smollm2-1.7b-Q5_0,175,1,0.1455,439
smollm2-1.7b-Q5_0,176,0,0.1003,263
smollm2-1.7b-Q5_0,177,1,0.1477,382
smollm2-1.7b-Q5_0,178,1,0.0982,202
smollm2-1.7b-Q5_0,179,0,0.0913,120
smollm2-1.7b-Q5_0,180,0,0.0912,143
smollm2-1.7b-Q5_0,181,1,0.1402,380
smollm2-1.7b-Q5_0,182,0,0.0980,169
smollm2-1.7b-Q5_0,183,1,0.1420,353
smollm2-1.7b-Q5_0,184,1,0.1417,382
smollm2-1.7b-Q5_0,185,0,0.1563,573
smollm2-1.7b-Q5_0,186,1,0.1583,473
smollm2-1.7b-Q5_0,187,0,0.1543,287
smollm2-1.7b-Q5_0,188,1,0.1048,179
smollm2-1.7b-Q5_0,189,0,0.1244,235
smollm2-1.7b-Q5_0,190,1,0.1125,246
smollm2-1.7b-Q5_0,191,0,0.1510,294
smollm2-1.7b-Q5_0,192,0,0.1059,174
smollm2-1.7b-Q5_0,193,1,0.1480,372
smollm2-1.7b-Q5_0,194,0,0.1545,423
