model,question,correct,seconds,prompt_chars
smollm2-1.7b-Q5_K_M,0,1,0.1703,321
smollm2-1.7b-Q5_K_M,1,1,0.1218,444
smollm2-1.7b-Q5_K_M,2,1,0.1177,355
smollm2-1.7b-Q5_K_M,3,1,0.1259,408
smollm2-1.7b-Q5_K_M,4,0,0.1481,470
smollm2-1.7b-Q5_K_M,5,1,0.1537,499
smollm2-1.7b-Q5_K_M,6,1,0.1507,516
smollm2-1.7b-Q5_K_M,7,0,0.1446,342
smollm2-1.7b-Q5_K_M,8,0,0.1492,480
smollm2-1.7b-Q5_K_M,9,1,0.0985,224
smollm2-1.7b-Q5_K_M,10,0,0.0918,275
smollm2-1.7b-Q5_K_M,11,1,0.0948,262
smollm2-1.7b-Q5_K_M,12,1,0.1406,185
smollm2-1.7b-Q5_K_M,13,1,0.1421,293
smollm2-1.7b-Q5_K_M,14,0,0.0943,168
smollm2-1.7b-Q5_K_M,15,0,0.0903,153
smollm2-1.7b-Q5_K_M,16,1,0.1437,468
smollm2-1.7b-Q5_K_M,17,0,0.1477,338
smollm2-1.7b-Q5_K_M,18,0,0.1480,485
smollm2-1.7b-Q5_K_M,19,0,0.1414,352
smollm2-1.7b-Q5_K_M,20,1,0.1371,332
smollm2-1.7b-Q5_K_M,21,1,0.2461,322
smollm2-1.7b-Q5_K_M,22,1,0.0951,232
smollm2-1.7b-Q5_K_M,23,1,0.1463,325
smollm2-1.7b-Q5_K_M,24,0,0.0916,105
smollm2-1.7b-Q5_K_M,25,0,0.1370,235
smollm2-1.7b-Q5_K_M,26,0,0.1424,436
smollm2-1.7b-Q5_K_M,27,0,0.1499,446
smollm2-1.7b-Q5_K_M,28,1,0.1427,319
smollm2-1.7b-Q5_K_M,29,1,0.0925,167
smollm2-1.7b-Q5_K_M,30,1,0.1403,379
smollm2-1.7b-Q5_K_M,31,1,0.0937,289
smollm2-1.7b-Q5_K_M,32,1,0.0951,192
smollm2-1.7b-Q5_K_M,33,1,0.0924,241
smollm2-1.7b-Q5_K_M,34,0,0.0881,128
smollm2-1.7b-Q5_K_M,35,0,0.1399,445
smollm2-1.7b-Q5_K_M,36,0,0.1463,376
smollm2-1.7b-Q5_K_M,37,0,0.1406,274
smollm2-1.7b-Q5_K_M,38,1,0.0940,284
smollm2-1.7b-Q5_K_M,39,1,0.1412,431
smollm2-1.7b-Q5_K_M,40,1,0.0926,270
smollm2-1.7b-Q5_K_M,41,0,0.0928,179
smollm2-1.7b-Q5_K_M,42,1,0.0903,129
smollm2-1.7b-Q5_K_M,43,1,0.1387,302
smollm2-1.7b-Q5_K_M,44,0,0.1374,380
smollm2-1.7b-Q5_K_M,45,0,0.0911,134
smollm2-1.7b-Q5_K_M,46,1,0.0896,153
smollm2-1.7b-Q5_K_M,47,1,0.0907,163
smollm2-1.7b-Q5_K_M,48,1,0.0890,221
smollm2-1.7b-Q5_K_M,49,1,0.0940,197
smollm2-1.7b-Q5_K_M,50,1,0.1456,419
smollm2-1.7b-Q5_K_M,51,1,0.1394,286
smollm2-1.7b-Q5_K_M,52,0,0.0913,196
smollm2-1.7b-Q5_K_M,53,0,0.1390,254
smollm2-1.7b-Q5_K_M,54,0,0.0938,312
smollm2-1.7b-Q5_K_M,55,0,0.1532,580
smollm2-1.7b-Q5_K_M,56,1,0.1412,316
smollm2-1.7b-Q5_K_M,57,1,0.1403,349
smollm2-1.7b-Q5_K_M,58,0,0.0915,154
smollm2-1.7b-Q5_K_M,59,0,0.2420,458
smollm2-1.7b-Q5_K_M,60,1,0.0951,147
smollm2-1.7b-Q5_K_M,61,0,0.0897,180
smollm2-1.7b-Q5_K_M,62,1,0.0936,191
smollm2-1.7b-Q5_K_M,63,1,0.0877,138
smollm2-1.7b-Q5_K_M,64,0,0.1458,480
smollm2-1.7b-Q5_K_M,65,1,0.0967,279
smollm2-1.7b-Q5_K_M,66,0,0.1407,343
smollm2-1.7b-Q5_K_M,67,0,0.1417,352
smollm2-1.7b-Q5_K_M,68,0,0.0902,182
smollm2-1.7b-Q5_K_M,69,0,0.0923,211
smollm2-1.7b-Q5_K_M,70,0,0.1378,228
smollm2-1.7b-Q5_K_M,71,0,0.0921,192
smollm2-1.7b-Q5_K_M,72,0,0.1410,391
smollm2-1.7b-Q5_K_M,73,1,0.0940,221
smollm2-1.7b-Q5_K_M,74,1,0.0919,296
smollm2-1.7b-Q5_K_M,75,0,0.0906,210
smollm2-1.7b-Q5_K_M,76,0,0.1442,399
smollm2-1.7b-Q5_K_M,77,0,0.1392,356
smollm2-1.7b-Q5_K_M,78,0,0.1402,327
smollm2-1.7b-Q5_K_M,79,0,0.0907,155
smollm2-1.7b-Q5_K_M,80,0,0.0909,193
smollm2-1.7b-Q5_K_M,81,1,0.0896,263
smollm2-1.7b-Q5_K_M,82,1,0.0918,138
smollm2-1.7b-Q5_K_M,83,1,0.0901,163
smollm2-1.7b-Q5_K_M,84,0,0.1479,505
smollm2-1.7b-Q5_K_M,85,0,0.0949,178
smollm2-1.7b-Q5_K_M,86,1,0.1489,600
smollm2-1.7b-Q5_K_M,87,0,0.1505,431
smollm2-1.7b-Q5_K_M,88,1,0.1514,221
smollm2-1.7b-Q5_K_M,89,1,0.0925,219
smollm2-1.7b-Q5_K_M,90,1,0.0916,174
smollm2-1.7b-Q5_K_M,91,0,0.1366,346
smollm2-1.7b-Q5_K_M,92,1,0.1426,307
smollm2-1.7b-Q5_K_M,93,1,0.1493,557
smollm2-1.7b-Q5_K_M,94,1,0.1392,289
smollm2-1.7b-Q5_K_M,95,1,0.0896,241
smollm2-1.7b-Q5_K_M,96,1,0.1416,388
smollm2-1.7b-Q5_K_M,97,1,0.0945,201
smollm2-1.7b-Q5_K_M,98,0,0.0912,232
smollm2-1.7b-Q5_K_M,99,1,0.1366,270
smollm2-1.7b-Q5_K_M,100,1,0.1464,466
smollm2-1.7b-Q5_K_M,101,1,0.1415,272
smollm2-1.7b-Q5_K_M,102,1,0.0892,165
smollm2-1.7b-Q5_K_M,103,0,0.0889,185
smollm2-1.7b-Q5_K_M,104,1,0.0892,232
smollm2-1.7b-Q5_K_M,105,0,0.1422,293
smollm2-1.7b-Q5_K_M,106,1,0.0932,248
smollm2-1.7b-Q5_K_M,107,0,0.1416,345
smollm2-1.7b-Q5_K_M,108,1,0.1400,294
smollm2-1.7b-Q5_K_M,109,0,0.0905,144
smollm2-1.7b-Q5_K_M,110,0,0.1455,489
smollm2-1.7b-Q5_K_M,111,0,0.0927,243
smollm2-1.7b-Q5_K_M,112,0,0.1376,284
smollm2-1.7b-Q5_K_M,113,0,0.0918,177
smollm2-1.7b-Q5_K_M,114,0,0.0918,238
smollm2-1.7b-Q5_K_M,115,1,0.0922,218
smollm2-1.7b-Q5_K_M,116,1,0.0918,244
smollm2-1.7b-Q5_K_M,117,1,0.0886,198
smollm2-1.7b-Q5_K_M,118,0,0.1418,247
smollm2-1.7b-Q5_K_M,119,1,0.1398,392
smollm2-1.7b-Q5_K_M,120,1,0.1423,348
smollm2-1.7b-Q5_K_M,121,0,0.0896,175
smollm2-1.7b-Q5_K_M,122,1,0.1383,314
smollm2-1.7b-Q5_K_M,123,0,0.1414,309
smollm2-1.7b-Q5_K_M,124,0,0.1397,334
smollm2-1.7b-Q5_K_M,125,1,0.0916,212
smollm2-1.7b-Q5_K_M,126,0,0.0876,143
smollm2-1.7b-Q5_K_M,127,0,0.0895,155
smollm2-1.7b-Q5_K_M,128,0,0.0852,126
smollm2-1.7b-Q5_K_M,129,1,0.0912,214
smollm2-1.7b-Q5_K_M,130,0,0.0890,154
smollm2-1.7b-Q5_K_M,131,1,0.0890,176
smollm2-1.7b-Q5_K_M,132,1,0.0892,168
smollm2-1.7b-Q5_K_M,133,0,0.0920,212
smollm2-1.7b-Q5_K_M,134,1,0.1400,356
smollm2-1.7b-Q5_K_M,135,0,0.1409,344
smollm2-1.7b-Q5_K_M,136,1,0.1438,380
smollm2-1.7b-Q5_K_M,137,1,0.1415,267
smollm2-1.7b-Q5_K_M,138,1,0.1413,309
smollm2-1.7b-Q5_K_M,139,0,0.0907,228
smollm2-1.7b-Q5_K_M,140,1,0.1414,295
smollm2-1.7b-Q5_K_M,141,1,0.1401,320
smollm2-1.7b-Q5_K_M,142,0,0.0904,217
smollm2-1.7b-Q5_K_M,143,0,0.1414,366
