model,question,correct,seconds,prompt_chars
smollm2-1.7b-Q6_K,0,1,0.1649,321
smollm2-1.7b-Q6_K,1,1,0.1291,444
smollm2-1.7b-Q6_K,2,1,0.1258,355
smollm2-1.7b-Q6_K,3,0,0.1277,408
smollm2-1.7b-Q6_K,4,0,0.1546,470
smollm2-1.7b-Q6_K,5,1,0.1586,499
smollm2-1.7b-Q6_K,6,1,0.1549,516
smollm2-1.7b-Q6_K,7,0,0.1508,342
smollm2-1.7b-Q6_K,8,0,0.1573,480
smollm2-1.7b-Q6_K,9,1,0.1014,224
smollm2-1.7b-Q6_K,10,0,0.0995,275
smollm2-1.7b-Q6_K,11,1,0.1003,262
smollm2-1.7b-Q6_K,12,1,0.1493,185
smollm2-1.7b-Q6_K,13,1,0.1506,293
smollm2-1.7b-Q6_K,14,0,0.0983,168
smollm2-1.7b-Q6_K,15,0,0.0970,153
smollm2-1.7b-Q6_K,16,1,0.1513,468
smollm2-1.7b-Q6_K,17,0,0.1497,338
smollm2-1.7b-Q6_K,18,0,0.1537,485
smollm2-1.7b-Q6_K,19,0,0.1506,352
smollm2-1.7b-Q6_K,20,1,0.1503,332
smollm2-1.7b-Q6_K,21,1,0.2578,322
smollm2-1.7b-Q6_K,22,1,0.1030,232
smollm2-1.7b-Q6_K,23,1,0.1553,325
smollm2-1.7b-Q6_K,24,0,0.0988,105
smollm2-1.7b-Q6_K,25,0,0.1486,235
smollm2-1.7b-Q6_K,26,0,0.1584,436
smollm2-1.7b-Q6_K,27,0,0.1666,446
smollm2-1.7b-Q6_K,28,1,0.1610,319
smollm2-1.7b-Q6_K,29,1,0.1149,167
smollm2-1.7b-Q6_K,30,1,0.1604,379
smollm2-1.7b-Q6_K,31,1,0.1142,289
smollm2-1.7b-Q6_K,32,1,0.1134,192
smollm2-1.7b-Q6_K,33,1,0.0995,241
smollm2-1.7b-Q6_K,34,0,0.0973,128
smollm2-1.7b-Q6_K,35,0,0.1521,445
smollm2-1.7b-Q6_K,36,0,0.1505,376
smollm2-1.7b-Q6_K,37,0,0.1485,274
smollm2-1.7b-Q6_K,38,1,0.1018,284
smollm2-1.7b-Q6_K,39,1,0.1486,431
smollm2-1.7b-Q6_K,40,1,0.0996,270
smollm2-1.7b-Q6_K,41,0,0.0996,179
smollm2-1.7b-Q6_K,42,1,0.0996,129
smollm2-1.7b-Q6_K,43,1,0.1450,302
smollm2-1.7b-Q6_K,44,0,0.1478,380
smollm2-1.7b-Q6_K,45,0,0.0967,134
smollm2-1.7b-Q6_K,46,1,0.0993,153
smollm2-1.7b-Q6_K,47,1,0.0991,163
smollm2-1.7b-Q6_K,48,1,0.0977,221
smollm2-1.7b-Q6_K,49,1,0.0987,197
smollm2-1.7b-Q6_K,50,1,0.1527,419
smollm2-1.7b-Q6_K,51,1,0.1485,286
smollm2-1.7b-Q6_K,52,1,0.1002,196
smollm2-1.7b-Q6_K,53,0,0.1428,254
smollm2-1.7b-Q6_K,54,0,0.1024,312
smollm2-1.7b-Q6_K,55,0,0.1583,580
smollm2-1.7b-Q6_K,56,1,0.1474,316
smollm2-1.7b-Q6_K,57,1,0.1482,349
smollm2-1.7b-Q6_K,58,0,0.0984,154
smollm2-1.7b-Q6_K,59,1,0.2555,458
smollm2-1.7b-Q6_K,60,0,0.1031,147
smollm2-1.7b-Q6_K,61,1,0.1010,180
